no,fps
1,0.16796517886494444
2,8.186899178051176
3,8.506145924383127
4,8.388675109400875
5,8.827604786008187
6,8.943593767658266
7,9.03133175572815
8,8.961613571779587
9,8.982109893310376
10,8.754274026068899
11,9.165253228037436
12,8.938371476003043
13,8.214702742932127
14,8.052960602104292
15,7.734914874155381
16,7.731122424528406
17,7.719554234496213
18,8.742231254233756
19,8.656777658298779
20,9.039389831531262
21,9.10200494345838
22,8.855917029830072
23,9.08040796090988
24,9.091410388687065
25,9.222507091184942
26,8.922589277926807
27,8.849489408388894
28,8.77842263555443
29,9.17010247294972
30,9.156309624125148
31,8.94582558397461
32,9.07123670448598
33,9.205888356514658
34,9.147084223840887
35,9.02130844659338
36,8.887856685752064
37,9.259051424408659
38,8.936048183838302
39,9.20497919483119
40,9.131888970897208
41,9.110941678125116
42,9.00933302688642
43,8.779690535199947
44,9.073473802621901
45,8.598673595949036
46,8.391477885436819
47,8.638217945760701
48,8.745968263235815
49,9.130576943590011
50,8.988173073008078
51,8.93694307959141
52,8.761680349272002
53,8.992566769364027
54,8.531736410014402
55,8.801411817042949
56,7.840274857047792
57,7.676884077202551
58,8.590132508653
59,8.972464189755788
60,9.263079783921308
61,9.139808892908118
62,9.113396417047813
63,8.95422871977046
64,8.79866078733286
65,8.928420290780595
66,8.94319330311262
67,9.034094017554251
68,8.922892986229447
69,8.57781749837925
70,8.953005464480874
71,9.202030706315462
72,9.113198405197233
73,8.974249579028223
74,9.174776225183527
75,8.84941472348111
76,9.3345944730921
77,8.65595585245905
78,8.2113576341101
79,8.714078844855347
80,8.854795260895633
81,9.10421772133215
82,9.377649989044551
83,9.11551568259267
84,9.428453252288381
85,9.121383461786044
86,8.84034987880704
87,8.952642374903682
88,9.291150344460934
89,8.978379813167336
90,9.36048883473262
91,9.56764845432315
92,8.163507445692476
93,7.807118220686806
94,8.041982471512853
95,8.830392538711749
96,9.138195936259494
97,8.839343820073172
98,8.555561221679861
99,8.852253636463407
100,8.984996101214193
101,9.103150711986682
102,8.926482105764974
103,8.928325262093555
104,8.857880809527128
105,8.55393852378777
106,8.61150828032801
107,8.6740896381715
108,8.765782070948784
109,8.714585796296257
110,9.41440114921889
111,8.414204008594144
112,8.537988649410078
113,9.108686068455697
114,8.88738586978402
115,9.166094464683374
116,9.288804634764276
117,9.126821859264771
118,9.076576167166555
119,8.588127375180186
120,9.253250205723186
121,9.092849168066772
122,9.25678318097752
123,9.287591092176093
124,9.275370523531727
125,9.137021424914769
126,9.259051424408659
127,9.361825981759825
128,9.248496180916932
129,9.342578712314426
130,9.109972024812775
131,9.30339192078716
132,8.863777377661687
133,9.230767876439039
134,9.107262048225472
135,9.2893806642511
136,9.107064302851994
137,9.013205086053324
138,9.21444326300342
139,9.383881208763919
140,7.777686296761943
141,9.11943991476964
142,7.7787537091988135
143,7.794481446241675
144,7.686774720884373
145,9.098549630574464
146,7.648842544469124
147,8.399779707010325
148,7.268200375687084
149,8.80154110235824
150,8.66319668203374
151,9.233125012382585
152,8.43707053314237
153,8.741338490779953
154,9.225509301824292
155,9.183313591588922
156,9.208030647303541
157,9.136862192383015
158,9.249332371860604
159,9.201364528831704
160,9.330503686104919
161,9.12082807811073
162,9.180640190516215
163,9.185887959562246
164,9.300070732177819
165,9.26823792498442
166,9.35537359673991
167,9.00202391351472
168,8.95799615137361
169,8.725281720465897
170,8.427475517084796
171,8.487487226185056
172,8.451538153087892
173,9.007185469288883
174,8.29833867192678
175,9.073493431171702
176,8.844805371448574
177,9.317859491353724
178,9.083672448407224
179,9.304072954261617
180,9.295433290043482
181,9.228960199968315
182,9.333597402626303
183,9.068275228366034
184,9.052637031537326
185,9.008500968655094
186,9.011868849641184
187,8.835303262337247
188,8.905822550439314
189,7.440983827588899
190,8.437240252817238
191,8.633683746837736
192,8.270048583506846
193,8.22646438693354
194,8.93134816530953
195,9.038415870600987
196,9.055764264925598
197,8.956733613077507
198,9.15379176087507
199,9.183514662124141
200,9.11230745834148
201,9.36333072887599
202,8.833089040518912
203,8.638484811662138
204,8.703085283639012
205,8.46234890838769
206,9.114861972222766
207,8.898982440953569
208,9.07359157519459
209,9.208920192947366
210,8.968166812062742
211,9.09991169776771
212,9.259787309668203
213,9.143176031530118
214,9.19033616575588
215,9.276970715739184
216,9.339458243801422
217,9.5052678573452
218,9.072806482454888
219,8.820550350672429
220,9.34268276384372
221,9.258172603622654
222,9.27377088326597
223,9.415436695093508
