no,fps
1,0.15198844014923213
2,6.9921381655719665
3,7.008366320172573
4,7.263681626503416
5,7.303218302342467
6,7.311518904153528
7,7.253745075454926
8,7.028790143649076
9,7.108459708089566
10,6.275807274560883
11,7.223351399013879
12,7.254447653804244
13,7.095280305849714
14,7.232506328415448
15,6.8111132943490045
16,7.328407313898329
17,6.526169693009071
18,6.324685899717114
19,7.312258215233988
20,7.294086548828926
21,7.282321423300698
22,7.305851573413784
23,7.219087025517984
24,7.255765355107124
25,6.940259190130124
26,7.14686823213881
27,7.2566189789912405
28,6.4420914237618225
29,7.165536846708944
30,7.246338652803908
31,7.313507735819118
32,7.269271097816084
33,7.4423305546387875
34,7.160240159651198
35,7.261003240727917
36,6.369259691764753
37,7.350329812066706
38,7.317590778480096
39,7.2103254553831135
40,7.314540825224094
41,6.9544939786804
42,7.25641810824324
43,7.2461759065701505
44,6.344076946230509
45,7.201127648506055
46,7.34919644797062
47,6.978387533649895
48,7.441855183548908
49,7.282789276288374
50,6.898685167092664
51,7.341169881331607
52,6.472681369318875
53,7.17815561811694
54,7.338729375535842
55,7.296027832137421
56,7.378193863208983
57,6.978910044476096
58,7.043745644160446
59,7.3633111080681575
60,6.453639179397858
61,7.280336877770719
62,7.337432714460903
63,7.363013806844614
64,7.277393653476118
65,7.384598049227085
66,6.9463165164279905
67,7.107363569352775
68,6.59069324542189
69,7.180969925661632
70,7.373485503730425
71,7.208256068743287
72,7.259394644291214
73,7.238859884538716
74,6.951670003579999
75,7.323532082218761
76,6.2405394387194875
77,7.357279302003723
78,7.319314679798829
79,7.290637928037546
80,7.261304931928036
81,6.939478369059516
82,7.228081664164996
83,7.3070097959795195
84,7.4289641295953865
85,6.841487662889495
86,6.807951448573177
87,7.1672265834595
88,7.245086946833484
89,7.325770556169776
90,7.306704295034275
91,7.285040869000351
92,7.033422264852709
93,7.187935289278859
94,7.237336011333185
95,7.1667612141260735
96,6.41186766888788
97,6.4440412302709715
98,7.049214877908178
99,6.751601256215482
100,7.028978609589822
101,7.215237256413079
102,7.359551370121404
103,6.973607291663203
104,7.323966878651677
105,7.351991852746456
106,7.269321492511963
107,6.465776569193748
108,6.4238679787111845
109,6.846222526911997
110,7.294644720548746
111,7.33251983343065
112,7.399449580128431
113,6.887764184251581
114,7.203230055591716
115,7.363737712631389
116,6.986908408836116
117,6.471273270363593
118,7.3458499131312
119,7.199508395384684
120,7.34325201600902
121,6.956385595321614
122,7.251011333854271
123,7.3174886468512135
124,6.818742542032859
125,6.888001721054507
126,6.518329725252268
127,6.975207711087016
128,6.6000686080435065
129,7.252064458122969
130,7.1292901822137615
131,7.159433500101563
132,7.195667129301604
133,7.253682351862837
134,6.993922031925591
135,7.234539750000431
136,7.254987225990137
137,6.285239897741134
138,7.237198644460856
139,6.896337182440442
140,7.334545759771691
141,7.309403770849199
142,6.947064357550782
143,7.188465012331249
144,7.314375001089926
145,6.451246935341473
146,6.880442521136881
147,7.105954744753088
148,7.115912769372237
149,7.194803100711366
150,7.339332928538557
151,6.968046330660837
152,7.19286596240911
153,7.227047945937191
154,7.204912865351416
155,6.356354378201437
156,6.309045619186292
157,6.311115123610045
158,7.276042841232778
159,7.266450109577887
160,7.265128524908197
161,7.263103028497907
162,7.201659317866513
163,6.856989649867661
164,6.8863280012215204
165,6.844133465615372
166,6.778793643200122
167,6.811577868686065
168,6.922767387777266
169,7.225902483228645
170,7.186260399961621
171,6.8631607195160464
172,7.100757765573471
173,6.810405493393866
174,6.948859833398498
175,7.063020342179712
176,6.427313335631919
177,6.296685397222393
178,6.14133415719446
179,5.896740016758237
180,6.089424130897159
181,6.1534254373031345
182,6.845652656456057
183,7.040364178994245
184,7.236998847409432
185,7.347484185835484
186,7.340463252216067
187,7.050826487265221
188,6.833952211423311
189,7.114343675579589
190,6.879144777952906
191,6.8887710002775675
192,6.902999641214866
193,7.15543954825392
194,6.844747763052465
195,6.819296853660758
196,7.002293861333245
197,6.5557715993422825
198,6.833918807067396
199,6.784374747262346
200,6.7140554341649255
201,7.154621765599919
202,7.18109287147563
203,7.150633178988141
204,7.074003487834743
205,7.0508857516533245
206,7.037989636749268
207,7.180883866096666
208,7.081623556426015
209,7.153133148804742
210,7.097141213397971
211,7.15445090925218
212,7.218962775295519
213,7.210684931035846
214,7.198631089173144
215,7.1167821037950025
216,7.159091335806005
217,7.184746282411666
218,5.80974398255818
219,6.3134140540800905
220,7.260048050626251
221,6.913524570573332
222,7.2903211228436104
223,7.398640329369098
224,7.198742285168988
225,7.224720049470415
226,7.246952146628701
227,7.225205422817867
228,7.1355243056382545
229,7.238784924950942
230,7.2358002967256665
231,7.293071909971692
232,7.009560989957702
233,7.205568879146252
234,6.441656095171105
235,6.314773300411771
236,6.259370466986229
237,6.393541680004634
238,7.135621420964345
239,7.366880596333337
240,7.267671429413049
241,7.2223439060509005
242,6.531525484962541
243,7.323954089784401
244,7.126152988808639
245,6.778936071863797
246,6.885231477377563
247,7.216044125819144
248,6.331426294195254
249,7.26575779098169
250,6.834809701662788
251,6.895101446321071
252,6.9204486580846565
253,6.803589387559126
254,7.255238217146653
255,7.14057781031342
256,7.29615474937594
257,7.236599286399492
258,7.255677493461022
259,6.741454852884921
260,6.679253455634117
261,6.983999906753541
262,6.5575140161784065
263,6.698507558032755
264,6.931977668551861
265,6.840561557329993
266,6.053469884943338
267,6.425767389985476
268,6.607076021549416
269,6.513875537153888
270,7.061557706456463
271,7.22947702988967
272,7.062068965517241
273,6.451981294609894
274,6.742549412038935
275,6.411171811231119
276,6.892733245578141
277,7.501348499481346
278,7.236549344375431
279,7.2948604006838655
280,6.796841982446815
281,6.331770382022336
282,6.52898369117686
283,7.278176596649227
284,6.652335206446937
285,7.053648577516401
286,6.468638476510088
287,7.1866297937377706
288,7.1090259780981935
289,7.370440595286001
290,7.231658367701623
291,7.227409090987416
292,7.285116789639696
293,7.3169269738483305
294,6.4980618773916685
295,6.567782304914675
296,6.138988091753217
297,6.56723727866147
298,7.072774825849337
299,6.801614496086193
300,6.109683744087772
301,6.975486119888506
302,6.832293522986053
303,7.033941253909558
304,7.006177149557844
305,6.862599254233184
306,6.897879639573263
307,6.9571702260004145
308,7.115852406812672
309,6.850796098236628
310,6.939053584338795
311,6.6167799094163176
312,6.916180777247184
313,6.744934831027025
314,6.818376745720942
315,6.8961557622462015
316,7.037647173315928
317,7.0050889267825855
318,7.071987752218477
319,7.128551057902958
320,7.097657638143845
321,7.206683138545916
322,7.0961806231125175
323,7.155573828944024
324,7.183035974229258
325,6.730820397689798
326,6.749276283500551
327,6.019924304292725
328,6.642537347707034
329,6.0505881368597505
330,6.903454110335338
331,6.580539081866391
332,7.117337623110496
333,6.4604882136211845
334,7.046017541531365
335,7.0779428540571185
336,6.942614199712318
337,6.97956038945587
338,6.53106781603468
339,6.32817841936759
340,6.8469825017916115
341,6.89577027602455
342,7.0683170569350935
343,6.995531790336058
344,7.179765279432508
345,7.042515644702797
346,6.749873670319767
347,7.011635060315083
348,7.029390914073014
349,7.070902831864972
350,6.9212823081150034
351,7.018287387575821
352,6.8777121868030955
353,7.046550229491892
354,6.511266593289566
355,6.751818625233616
356,6.356469974903311
357,6.687485550561475
358,6.777260175252351
359,6.95286847200488
360,6.514664699258339
361,6.8336961197064685
362,7.236324613797363
363,6.97095314310027
364,6.831436663946668
365,6.966402912589109
366,7.023564242367409
367,7.086433352819331
368,6.942809564955423
369,7.141368067083812
370,7.09535232282359
371,6.722621407929682
