number,gpu_usage,mem_usage
1,50.1,76.51075108727106
2,19.6,79.86142274189422
3,0.1,84.43058240822677
4,14.4,87.4050079474587
5,15.1,90.16045898146712
6,6.8,90.85172013202427
7,26.2,91.71839155178849
8,98.6,91.3286725017929
9,99.7,91.19121711450632
10,99.7,91.21386422637046
11,99.3,91.53700496139507
12,99.8,91.7628469935959
13,99.7,91.8164766126631
14,99.6,91.80048733229604
15,99.6,91.81988416421673
16,99.6,91.80630638187225
17,88.2,91.81070998695694
18,33.7,91.62764583272173
19,37.9,91.62298010828674
20,99.8,91.64316329825827
21,99.7,91.64473601435995
22,99.7,91.79136557890631
23,99.2,92.22501583200876
24,99.6,92.02533331096582
25,78.8,92.24808233483336
26,99.5,92.2436263058786
27,99.4,92.0659093863891
28,58.5,91.95272625093838
29,99.1,92.051754941474
30,78.2,92.06428424641734
31,99.5,92.23890815757358
32,99.0,92.10984058949595
33,99.3,92.02260726972291
34,99.4,92.02779723285845
35,99.7,92.01532035178514
36,99.6,91.77941293653356
37,99.6,91.76478667678796
38,99.6,91.77652962368049
39,99.3,92.09469009104978
40,99.2,92.06837330828172
41,99.5,92.06297364966596
42,59.1,92.0869313582815
43,84.7,92.15109817522993
44,99.7,92.14512185404355
45,87.5,92.14014158638825
46,98.9,92.23785968017245
47,99.0,92.39371584584866
48,98.8,92.34679648214862
49,99.8,92.17710041477766
50,7.5,92.15450572678357
51,99.0,92.1658817065857
52,99.3,92.2590913475451
53,87.4,92.24834445418364
54,99.5,92.24011390658485
55,99.7,92.39287706392776
56,98.5,92.35382128073611
57,99.5,92.23109700093525
58,99.5,92.30045378101921
59,99.3,92.39576037678084
60,98.5,92.54820899090342
61,99.2,92.54768475220285
62,99.0,92.70915027197503
63,99.2,92.40629757466208
64,99.0,92.2914368753696
65,66.8,92.42669046011383
66,99.5,92.30108286745987
67,99.6,92.02140152071162
68,99.5,92.05086373568304
69,66.5,92.26784613384443
70,99.5,92.19539634542717
71,99.5,91.94381419302889
72,92.8,91.99891168045764
73,90.9,91.98412814910188
74,90.1,91.98533389811317
75,82.9,92.01726003497721
76,84.5,91.97904303370646
77,16.7,91.5702416950105
78,99.7,91.74203471718371
79,77.8,91.32893462114318
80,79.0,91.87288469684324
81,98.2,91.81485147269136
82,99.7,91.78780075574251
83,99.6,91.88205887410302
84,99.6,91.73899413272046
85,93.9,91.53359740984143
86,99.7,91.54586459543451
87,99.4,91.5261532202935
88,94.5,91.55949480164904
89,99.3,91.46560365037892
90,93.9,91.78093322876518
91,93.8,91.76588757805915
92,99.7,91.65993893667616
93,99.6,91.49889280786442
94,99.6,91.45669159246943
95,99.7,91.4353026534866
96,99.3,91.48201232170642
97,11.7,91.51640238046309
98,99.5,91.98365633427137
99,99.7,91.95828318116432
100,93.7,92.03267265277364
101,98.9,92.03398324952504
102,52.9,91.87409044585453
103,26.4,91.23609194727416
104,90.3,92.03246295729342
105,16.3,91.82423534543136
106,99.6,91.84001493031819
107,99.1,91.89610847127801
108,52.8,91.85909721901854
109,98.8,91.88861185786001
110,95.6,91.79823310588363
111,97.1,92.07964444034373
112,16.2,91.50413519487
113,99.1,91.73574385277699
114,99.1,91.56662444797665
115,99.7,91.63970332283458
116,98.8,91.87084016591106
117,92.1,91.9838660297516
118,84.0,91.77013391153366
119,84.0,91.49789675433335
120,99.8,92.02365574712402
121,99.4,92.24829203031358
122,34.1,91.97028824740711
123,98.6,92.0260672451466
124,98.6,92.03183387085275
125,99.3,91.92604250107993
126,15.5,92.02103455362123
127,98.9,92.0154776233953
128,88.3,91.95403684768978
129,99.3,92.15586874740502
130,69.5,91.88897882495041
131,67.3,92.15466299839373
132,95.7,91.91246471873545
133,99.0,91.80698789218297
134,70.2,91.3340197365386
135,98.7,91.17438905221836
136,64.8,90.90975335617615
137,99.6,90.99342185278539
138,66.0,91.02566253286977
139,90.8,91.56353143964336
140,95.2,91.52541928611271
141,99.6,91.5618014519315
142,99.3,91.21302544444957
143,62.6,90.9793722556104
144,99.6,90.9851913051866
145,98.6,91.07268674430992
146,99.3,91.18796683456284
147,99.6,91.1565125125293
148,99.5,90.98524372905666
149,99.6,90.96967383965006
150,99.5,91.02917493216351
151,92.3,91.27069170151107
152,98.9,91.2789746729799
153,99.2,91.2013349214271
154,35.8,91.14529380433734
