number,gpu_usage,mem_usage
1,51.1,71.92250913223816
2,58.5,77.69663145180569
3,8.4,83.4005057854983
4,0.1,83.50923289199424
5,53.4,83.24926292038701
6,55.8,84.98554149663859
7,11.5,87.46351298644109
8,35.5,89.4300371999782
9,60.2,89.57242043105002
10,44.8,89.63244576226404
11,56.0,89.65388712511691
12,98.1,89.75931152779934
13,93.9,89.81351780943714
14,98.2,89.80235152511523
15,43.6,89.83516886777022
16,49.6,89.80360969799656
17,98.2,89.79952063613221
18,47.2,89.86148565053828
19,58.3,89.85529963387168
20,93.0,89.87737008316523
21,84.3,89.89189149517071
22,46.2,89.91286104319308
23,73.4,89.92680579262795
24,90.9,89.92465641395565
25,53.0,90.00696188994343
26,84.1,90.00224374163838
27,90.4,90.01875726070601
28,91.4,89.94620262454863
29,95.4,89.99202108697749
30,65.2,89.95904647271232
31,96.4,90.02337056127092
32,90.8,89.93514118796683
33,73.2,90.10992237073322
34,90.0,90.1718873851393
35,70.4,90.17508524121271
36,58.6,90.08858585562048
37,52.5,90.093775818756
38,53.8,90.52978514601097
39,41.3,90.3569960703067
40,62.6,90.36611782369643
41,67.3,90.62713627270477
42,97.8,90.71064749770383
43,82.9,90.75043721507626
44,92.4,90.7538447666299
45,71.4,90.66629690363654
46,78.7,90.55033530307288
47,93.3,90.53576146719735
48,97.6,90.59473832101023
49,96.4,90.39463640900685
50,63.4,90.38567192722728
51,92.5,90.37911894347029
52,91.0,90.38540980787701
53,57.5,90.41434778414786
54,98.1,90.65738484572704
55,79.7,90.62042601733762
56,46.8,90.71903531691278
57,98.7,90.71971682722351
58,67.2,90.73324218569793
59,98.8,90.7547883962909
60,63.2,90.68244345561376
61,80.2,90.72946766705391
62,68.8,90.70419936168696
63,19.6,90.77224554501953
64,82.9,90.61539332581225
65,72.8,90.65140852454067
66,67.8,90.69486791281702
67,48.1,90.71022810674339
68,97.9,90.73429066309905
69,81.6,90.77266493597998
70,45.3,90.75546990660163
71,62.8,90.72742313612171
72,91.1,90.73512944501995
73,98.7,90.78304486225105
74,70.2,90.8550228358378
75,53.7,90.84050142383231
76,62.2,90.85984583188294
77,75.9,90.83143209431263
78,49.4,90.82168125448224
79,50.4,90.8897274378148
80,62.6,90.88747321140241
81,82.3,90.94859944388759
82,70.1,90.9113784961479
83,56.7,90.8954416396509
84,49.4,90.91525786253203
85,95.5,90.86566488145914
86,91.9,90.85764402934059
87,98.8,91.03709093654196
88,83.7,91.04647480928196
89,98.7,91.0982695928972
90,45.7,90.95682999148636
91,87.8,91.26534446676537
92,86.7,91.20028644402599
93,96.3,91.16018218343321
94,86.5,91.13722052834873
95,97.8,91.12395728922459
96,79.7,91.05764109360386
97,47.6,91.56845928342861
98,45.0,91.4596797530626
99,76.9,91.44730771972941
100,66.9,91.69280870320121
101,98.4,91.89395909260571
102,97.6,92.05694490460952
103,98.6,92.08520137056966
104,40.8,92.14223854119048
105,93.3,92.371540548815
106,91.6,92.1934566622351
107,66.9,92.36509241279813
108,88.0,91.53847282975663
109,87.0,91.53763404783574
110,96.2,91.41643006026648
111,87.7,91.05124538145705
112,76.8,90.55059742242317
113,61.5,90.44071699078599
114,59.9,90.6650387307552
115,92.9,90.835521156177
116,98.4,91.03709093654196
117,98.4,91.15310496097567
118,98.7,91.10901648625865
119,92.0,91.22754685645505
120,98.4,91.17653843089066
121,77.8,91.2802852697313
122,81.1,91.3091708221321
123,73.2,91.25706149529653
124,98.4,90.96799627580828
125,98.9,90.98487676196628
126,98.0,90.99253064699442
127,98.4,91.01543987820887
128,70.7,91.05003963244577
129,46.0,91.07425946041158
130,89.8,91.19399557961928
131,81.1,91.1982419130938
132,97.1,91.20573852651181
133,91.9,91.31305018851623
134,79.5,91.30623508540897
135,53.8,91.35614260970219
136,95.3,91.52725412156467
137,51.4,91.50350610842935
138,98.3,91.05690715942309
139,98.7,91.1781635708624
140,98.8,90.97308139120369
141,65.2,90.55096438951354
142,72.6,90.55825130745131
143,98.2,90.65156579615083
144,81.9,90.70336057976607
145,68.4,90.73360915278832
146,93.7,90.83793265419958
147,82.8,91.01585926916931
148,49.8,91.05486262849091
149,97.9,91.16474306012809
150,97.9,91.19792736987347
151,97.6,91.10115290575027
152,76.8,90.98886097609052
153,96.6,91.1467616726989
154,91.1,91.10345955603273
155,86.4,91.2030124852689
156,98.6,91.10802043272759
157,98.7,91.28830612184984
158,75.8,91.20731124261347
159,98.6,91.2994199823017
160,98.5,91.37281340037997
161,98.3,91.45894581888182
162,89.3,91.45716340729993
163,98.6,91.5061797258022
164,53.4,91.56279750546257
165,45.2,91.55734542297675
166,98.6,91.71535096732525
167,87.0,91.72735603356806
168,98.3,91.7330178115341
169,46.8,91.69548232057406
170,98.4,91.75026526478248
171,80.6,91.42922148456012
172,82.3,91.36211893088856
173,98.6,91.45108223837343
174,96.4,91.53212954147986
175,94.6,91.45632462537903
176,91.3,91.51053090701683
177,56.6,91.52709684995449
178,95.5,91.3126307975558
179,94.2,91.59210244882382
180,94.4,91.6909214438792
181,68.3,91.69548232057406
182,70.1,91.61039837947332
183,82.2,91.66659676817326
184,60.3,91.6056802311683
185,98.9,91.62817007142228
186,98.8,91.89490272226672
187,78.7,91.91120654585411
188,90.3,91.545392780604
189,84.6,91.63094853653524
190,98.2,91.26167479586145
191,68.6,91.2607835900705
192,67.0,91.30964263696261
193,52.2,91.16537214656876
194,91.6,91.33480609458944
195,66.3,91.5014091536271
196,48.9,91.39871079218759
197,81.9,91.35373111167962
198,66.7,91.48835560998319
199,98.3,91.49899765560453
200,40.7,91.35677169614286
201,75.0,91.58984822241142
202,66.8,91.67577094543304
203,43.7,91.58533976958661
204,88.0,91.72462999232515
205,97.9,91.68216665757987
206,71.4,91.73553415729677
207,61.7,91.83985765870803
208,89.7,91.8591496428886
209,84.5,91.89867724091076
210,98.3,91.61972982834328
211,77.3,91.4392344437408
212,96.2,91.49517071309045
213,92.7,91.51477724049137
214,67.2,91.52636291577372
215,86.9,91.43897232439052
216,88.3,91.46219609882529
217,92.7,91.51472481662131
218,87.4,91.57653255941722
219,97.7,91.50230035941806
220,98.8,91.69301839868143
221,60.5,91.61076534656371
222,55.5,91.59571969585768
223,53.0,91.57433075687487
224,68.9,91.62476251986865
225,52.8,91.71650429246648
226,53.6,91.6567935044728
227,73.1,91.57233864981275
228,96.1,91.71152402481117
229,98.1,91.75959671365244
230,94.6,91.63273094811714
231,92.8,91.62628281210027
232,98.2,91.42843512650929
233,98.1,91.31268322142586
234,98.2,91.43346781803466
235,98.0,91.40736073074682
236,68.4,91.58696490955835
237,98.3,91.55451453399374
238,98.2,91.56877382664894
239,97.8,91.5094824296157
240,98.0,91.49716282015258
241,69.5,91.80420942707
242,81.5,91.70324105334234
243,70.3,91.73175963865275
244,72.9,91.63729182481201
245,73.2,91.70638648554569
246,95.5,91.73873201337018
247,75.5,91.96022286435638
248,80.0,91.86239992283205
249,98.5,91.88908367269052
