number,gpu_usage,mem_usage
1,53.2,68.33014683409462
2,2.2,73.96566339559021
3,3.1,80.28321486406222
4,0.0,83.26938491565257
5,5.6,83.0697547138258
6,99.1,82.99007038956722
7,29.4,83.00396272241494
8,46.0,82.90320399134586
9,81.7,82.93492044935668
10,85.2,83.01062055740233
11,47.9,83.09130093571414
12,78.7,83.11499653740157
13,35.6,83.2207355387368
14,98.8,83.09607151039016
15,95.7,83.08742156729629
16,51.8,83.06215324868272
17,98.8,83.08296553600552
18,53.4,83.02141988029528
19,98.9,82.95578516057702
20,98.8,82.9991397238414
21,54.8,83.0515111974824
22,49.7,83.05733025010917
23,98.8,83.11038323441818
24,47.8,83.01429023023003
25,98.9,83.02372653178696
26,43.4,83.1049835729717
27,98.6,83.03594129991345
28,98.8,83.04815606803993
29,99.2,83.0306989101596
30,24.5,83.06472201966211
31,98.8,83.07809011353443
32,14.7,83.10482630127909
33,26.5,83.14765662556808
34,99.1,83.15137872229332
35,5.1,83.1578792855881
36,99.0,83.19127330832015
37,31.9,83.1251143496265
38,98.6,83.20029021869676
39,17.6,83.21717071370418
40,98.9,83.21544072508541
41,55.7,83.19431389437739
42,7.3,83.16196834959611
43,98.7,83.25360532249347
44,16.9,83.29617352729475
45,98.9,83.27635729402519
46,5.5,83.22419551597436
47,98.9,83.23698694697376
48,99.2,83.31557036938403
49,76.4,83.31001343624493
50,5.2,83.29821805929876
51,98.9,83.30314590566739
52,39.9,83.33591084162897
53,99.0,83.37533361257796
54,79.6,83.31242493553171
55,98.9,83.39179471640506
56,36.5,83.37795480745488
57,35.3,83.61297114012017
58,99.1,83.63776764365589
59,80.5,83.60830541323924
60,98.9,83.60573664225984
61,99.1,83.60872480441954
62,99.0,83.6317913193365
63,80.2,83.60274848010015
64,97.3,83.6169553563331
65,72.7,83.60783359816139
66,38.7,83.62550045163188
67,91.2,83.6219880504968
68,98.8,83.65365208461007
69,99.2,83.62890800497188
70,93.5,83.63472705759865
71,99.2,83.62581499501711
72,70.4,83.59913123116999
73,59.5,83.65747902913039
74,45.8,83.64369154407775
75,98.8,83.70901172041077
76,99.0,83.62382288691065
77,85.2,83.60311544738292
