number,gpu_usage,mem_usage
1,55.0,77.40054143372994
2,0.6,80.69380895064188
3,1.0,83.46000687801175
4,0.7,85.10831820030951
5,2.4,88.29469344617746
6,0.1,92.43324344387082
7,75.7,90.95620090504569
8,56.2,91.1710339245348
9,98.8,91.3619616592784
10,98.7,91.42156759953195
11,98.9,91.43194752580303
12,9.8,91.42004730730034
13,99.6,91.21721935405405
14,98.9,91.16165005179478
15,99.5,91.63545698936005
16,99.1,91.6229276844167
17,99.6,91.65018809684577
18,98.9,91.5225883971297
19,99.4,91.5582366287677
20,78.7,91.45485675701745
21,99.3,91.545392780604
22,99.3,91.5787867858296
23,64.8,91.5715522917619
24,99.1,90.89098561069615
25,99.1,90.9504867032096
26,99.0,90.93470711832276
27,99.5,90.98796977029957
28,31.3,91.01103627312416
29,98.6,90.99924090236159
30,98.7,91.0166980510902
31,98.9,91.09669687679552
32,99.7,91.13113935942224
33,68.5,91.10618559727564
34,99.1,91.17313087933702
35,99.2,91.27949891168046
36,99.4,91.26560658611564
37,99.2,91.2844267554657
38,98.9,91.2878867308894
39,99.2,91.59032003724191
40,99.0,91.6230325321568
41,99.3,91.17942174374375
42,98.9,91.2714780595619
43,72.1,91.29339123724527
44,67.4,91.3873872362555
45,99.3,91.42240638145286
46,99.6,91.45213071577454
47,98.6,91.77175905150541
48,98.8,91.72368636266414
49,99.6,91.6452602530605
50,98.9,91.67660972735393
51,99.7,90.88626746239112
52,61.0,90.84763107015992
53,98.8,90.95394667863329
54,21.8,90.7785888332963
55,99.0,90.80060685871977
56,98.8,90.82000369064045
57,99.4,90.72763283160195
58,21.4,90.72501163809915
59,89.3,90.89911131055482
60,99.1,90.76422469290097
61,98.9,90.761446227788
62,98.9,90.78016154939796
63,99.6,90.77890337651662
64,99.6,90.66724053329754
65,63.8,90.66923264035967
66,88.7,90.67866893696973
67,99.2,90.68973037355153
68,99.4,90.70131604883387
69,45.8,90.69528730377745
70,87.9,90.71709563372072
71,98.6,90.94063101563908
72,82.5,90.90755155363381
73,90.3,90.77439492369182
74,93.0,90.74949358541527
75,99.2,90.76721285349414
76,99.2,90.7893881505278
77,99.6,90.7634907587202
78,18.5,90.7601356310366
79,99.1,90.79001723696848
80,98.9,90.81297889205297
81,98.9,90.83882385999053
82,99.6,90.85308315264572
83,91.8,90.96149571592133
84,28.1,90.97884801690984
85,98.7,91.14356381662549
86,45.9,91.10938345334904
87,99.0,91.14052323216225
88,99.2,91.30481964091746
89,22.5,91.12311850730369
90,86.2,91.24820186125709
91,98.5,91.15614554543892
92,76.0,90.87976690250419
93,99.4,90.91499574318175
94,22.8,90.9425182749611
95,99.1,90.97753742015846
96,99.3,91.03494155786966
97,48.9,91.39876321605765
98,99.3,91.63142035136575
99,99.2,91.49627161436162
100,73.9,91.24432249487295
101,99.5,91.19708858795258
102,99.2,91.04668450476218
103,98.9,91.24830670899719
104,98.6,91.26948595249978
105,98.9,91.20201643173783
106,99.6,91.1386883967103
107,32.1,91.14927801846159
108,21.2,91.13743022382896
109,99.4,91.14770530235991
110,99.3,90.70917962934227
111,99.2,90.58310022185782
112,99.0,90.57345422976753
113,99.3,90.56941759177323
114,98.7,91.14990710490225
115,99.1,91.13176844586292
116,99.2,91.09790262580681
117,99.3,91.11929156478962
118,98.9,91.29391547594582
