no,fps
1,25.161697481613015
2,24.500011682515947
3,25.906117205257438
4,25.431738255196333
5,25.890765432098764
6,24.834531351767424
7,27.136006625001617
8,20.14739097227893
9,24.599734900470377
10,25.556324640506947
11,26.52054655934443
12,25.284560295146004
13,24.705656443090987
14,25.857087373852575
15,24.934037190279167
16,24.86279623943378
17,24.20577456904263
18,24.43777384170784
19,26.99176276771005
20,26.4352999754196
21,24.61200467089551
22,26.90467301709484
23,26.569602371706754
24,28.086919836874635
25,26.26364433312461
26,26.026036560394147
27,25.445160977207788
28,26.540852485572543
29,24.427810974828482
30,25.298591005597373
31,25.949391835876114
32,21.875868399641167
33,23.993227009587443
34,24.783611148862246
35,26.87571045026688
36,18.025596726919538
37,21.009021102668264
38,19.287437403144445
39,24.86441753069294
40,26.123620419043824
41,26.60229470973634
42,25.2090322813302
43,25.332052931335422
44,26.157344292761415
45,21.27716649672546
46,23.339810579502075
47,17.638541246131073
48,19.91512233570265
49,18.449720019178578
50,19.291429412468148
51,22.274228238530455
52,18.469543314853386
53,21.649696750716185
54,19.682327545753168
55,20.201441066543367
56,20.70514826753812
57,24.538138419235946
58,25.663438064062166
59,26.48822199487199
60,26.703746148165127
61,25.21736830080685
62,24.831590787993605
63,25.034194206860327
64,26.306307662395493
65,24.682394618992415
66,24.892602791757668
67,25.378188682898493
68,25.72656010402738
69,23.78370531663945
70,22.78200601827208
71,24.01850791396569
72,25.37174105036476
73,24.283975706204878
74,25.612349704752656
75,25.769078118760177
76,26.13566630525542
77,25.949873477241372
78,25.305154178909074
79,26.031205392053423
80,25.8668146777675
81,28.426323280243984
82,24.933592519275468
83,23.763358129890143
84,22.3871728768688
85,20.937078505857865
86,22.21276956319112
87,24.1166993450899
88,27.379571906965815
89,25.839564812932398
90,26.710038145334362
91,25.936073511133646
92,25.384025079584106
93,25.330982002657326
94,25.81396093105698
95,26.15506070602321
96,24.23738666635847
97,26.1713807928218
98,27.228314355825034
99,26.45130449589133
100,23.230577509955637
101,25.007923968065633
102,25.36805815964872
103,26.008284346553562
104,20.73503690410864
105,23.446798519727647
106,23.999679569707894
107,25.266434943946795
108,20.237993910706447
109,20.649694511045357
110,19.731215776301678
111,24.530962685694234
112,23.67696884508346
113,26.565731803095943
114,22.890174419873823
115,22.441073712032445
116,20.394557955440586
117,19.96203965466366
118,19.658342707161605
119,19.049172733589785
120,19.63230248592278
121,25.425109264277097
122,24.80354344445036
123,23.94337123806914
124,25.079700309138417
125,23.387312438315835
126,26.5427000208833
127,25.697085546590205
128,24.839973231153724
129,25.782542414556183
130,22.67632620401808
131,26.674026824723516
132,23.544326251087597
133,23.5014512242954
134,26.60904540465783
135,25.43343459884909
136,24.84379868149052
137,22.68049532255448
138,25.826677011366854
139,19.558423875029145
140,20.627961304473985
141,24.834531351767424
142,24.060945387792565
143,25.30026963282885
144,26.195899146227976
145,22.71341153025528
146,26.689812281259943
147,23.600630204816564
148,25.19071242387479
149,25.50907410110446
150,20.149713917860076
151,26.48470956701838
152,23.72572023328035
153,26.015543687935345
154,26.13615488630911
155,26.29740117245055
156,25.350425800680554
157,21.047501480344042
158,16.783526606003857
159,21.724603376030082
160,23.507905459559133
161,20.381179146035095
162,22.538873245491477
163,21.987334871042147
164,21.242575260321704
165,25.285779739082205
166,22.2699706380516
167,22.558389940354218
168,23.093208534067447
169,26.169258029898426
170,17.647595405394032
171,21.967757817000994
172,24.49300125551111
173,24.01561990048612
174,26.325460536638946
175,27.226546880274192
176,21.897568157375407
177,25.545273492456957
178,25.991844828654646
179,24.195022901115635
180,25.02209707440462
181,21.32476472771459
182,22.350906174563164
183,23.2710486748004
184,22.87456983764268
185,22.331627790585618
186,26.243924414966838
187,24.317625231910945
188,20.014716478734115
189,21.75254513300038
190,23.679241235250945
191,19.96118463947307
192,22.427993925523495
193,23.77898597969238
194,24.033509245411675
195,25.84752666835109
196,20.329021282370675
197,21.881688847616612
198,15.629917533379789
199,16.942507099260386
200,23.55318455957502
201,18.57966661793955
202,21.912325704105783
203,19.33455951837664
204,24.069506134582056
205,22.659542628078725
206,24.63383176911421
207,26.05303402053531
208,24.079731777890046
209,20.45932090123752
210,20.602427511137964
211,23.01742370611833
212,23.039170342376586
213,22.58705942540187
214,20.4053729281096
215,16.753158464445058
216,16.95079211121888
217,18.017388913708373
218,22.255908478281633
219,21.209704987004056
220,15.478050364597172
221,21.483141002986116
222,23.78950592425798
223,23.01742370611833
224,26.306472654290015
225,23.992678015742268
226,19.14132245359912
227,24.361127244848173
228,21.01617938118502
229,16.07524231843843
230,19.008424916725204
231,24.883003779047346
232,23.373236964262826
233,23.666014027049748
234,24.749390751219973
235,21.029667029336114
236,16.928557302282403
237,23.422313804984558
238,21.682376720791137
239,19.38746700810295
240,22.744449867143864
241,24.871642215870683
242,23.736461746546464
243,24.18776743595954
244,20.205431080579817
245,20.071513341755676
246,22.6284912735022
247,24.982452796473883
248,22.453447537473235
249,23.51976941754378
250,23.75259226539361
251,22.937868803150035
252,23.603153611966167
253,21.34180023406096
254,16.20329528114195
