no,fps
1,16.729570184115637
2,17.665062016973067
3,15.541539293826446
4,15.48199250687485
5,17.53420259440568
6,17.65695618495942
7,17.936947262183754
8,18.83421345690987
9,17.253835964688555
10,19.319597790889954
11,18.269863878906676
12,19.135646112013433
13,17.835655117279856
14,18.219785757104507
15,16.8600324795395
16,18.20887021150974
17,18.65461661626045
18,18.497237081758566
19,19.26148533220669
20,19.3399977867129
21,18.30966142241003
22,17.932269332227435
23,18.530170090567704
24,19.011440485903364
25,18.11434444991492
26,18.507602834626212
27,19.751471599310584
28,17.90922211120505
29,18.196309809416796
30,17.61565050125787
31,18.69144418151758
32,18.31757774798342
33,18.56700058875348
34,18.667402508389486
35,18.328383775705507
36,18.93770515489053
37,17.265199601537866
38,18.37044823447998
39,18.204681484567942
40,16.014417276295493
41,18.277984773807813
42,15.293501644460974
43,18.213851772399806
44,18.45467185272532
45,18.86369115080864
46,19.051162790697674
47,18.10378926195933
48,18.60909534584498
49,18.199941854662693
50,17.870916063059223
51,18.969995748568532
52,18.587653445601596
53,19.27201716619876
54,18.642096794982912
55,18.33479336603107
56,19.080716407589883
57,17.62490335159848
58,16.08251565381769
59,18.13408043442545
60,18.886625419897513
61,19.254058024237974
62,18.70703358458588
63,17.803328650075766
64,18.845129781144554
65,18.058191900665616
66,18.336717117400696
67,19.205392138906188
68,17.81149382333332
69,18.230555917764157
70,19.24566499185537
71,18.613307061804658
72,17.432395138900436
73,14.489448065968157
74,16.809557588800853
75,15.161267468172321
76,16.978444524504425
77,18.21994404962555
78,18.154173772279886
79,16.711306606743005
80,18.282526066185444
81,17.641434598091298
82,19.831880960599168
83,18.15495957199993
84,18.60282259852927
85,19.006702163815564
86,18.967079082555532
87,19.260777722672252
88,19.063285155894917
89,17.66119408641315
90,17.089823043104467
91,16.292292214526825
92,16.864167648395124
93,16.2700461222764
94,17.77661743202865
95,19.06389167912805
96,18.77830756763775
97,19.006874425054267
98,18.510379889846067
99,18.93095261737333
100,19.423379534224626
101,19.555505823332496
102,17.318166240694328
103,17.945619387052194
104,19.366162000932686
105,18.650054469863715
106,18.771248148297328
107,18.575141052780754
108,18.92497337881495
109,18.61388528926207
110,18.47361072572156
111,18.818327022128102
112,17.986251849310662
113,14.925658243568803
114,16.95250490067296
115,15.897872856558061
116,17.7343007424696
117,16.282488858522647
118,17.047175064318548
119,16.671982446795823
120,16.187536423176525
121,16.554981922670077
122,14.361153054691004
123,16.925346633738478
124,16.48263828850779
125,16.60295142187599
126,16.998536951103365
127,16.022920972307645
128,18.168171186000173
129,19.16756465271018
130,17.22556295252841
131,17.781516025097506
132,18.826773915541512
133,16.995988362198215
134,19.45906423252685
135,18.310780487378963
136,17.59621419341847
137,16.73504368990145
138,17.20768340813798
139,19.011871359608367
140,18.35188077830137
