no,fps
1,7.12218397811539
2,7.116045570608145
3,8.26502928217295
4,8.752264593875529
5,8.659047367377948
6,8.553484976405187
7,8.825598693720897
8,8.290104972714209
9,8.276494604092957
10,8.067893112973094
11,8.923557420227818
12,8.723430717811024
13,7.290295779617504
14,7.22454582879033
15,8.446296203066947
16,8.480794233316146
17,8.84780930281616
18,8.375174220550237
19,8.680642163670193
20,8.865857086992824
21,8.719187266003248
22,8.53012273619345
23,8.232034700005888
24,9.04268337379321
25,8.644894543640774
26,8.813599781462102
27,6.427638374234915
28,8.605130288314571
29,7.567271487310313
30,8.918491238440717
31,8.374705988059821
32,8.108241234590336
33,8.640869545511668
34,8.630521518153852
35,8.763071574522495
36,8.977015455014373
37,8.6196667879169
38,8.63212010825384
39,8.79203952567513
40,8.781069102465597
41,8.416094966159477
42,7.524832479659846
43,7.542626960149619
44,7.477157459947339
45,8.599325881397771
46,8.44656835203164
47,8.718806645269652
48,8.694155397282081
49,8.82283252557889
50,8.712576442435523
51,8.585332304423561
52,8.101272081802625
53,8.720365588446873
54,8.512239770425662
55,8.728223163283355
56,8.693434590480612
57,8.545660142091355
58,7.518910643668188
59,8.244721126893456
60,8.805791162095433
61,8.759978529792003
62,8.572207541115613
63,8.54809842032645
64,8.674771357542616
65,8.727551177530577
66,8.376445401277346
67,8.052388567742481
68,8.232681021453667
69,8.70333811283639
70,8.797645741086056
71,8.609722903610525
72,7.5953496794755715
73,7.9481531453000525
74,7.330482214295327
75,8.444850705699961
76,8.657009936057527
77,8.752209804101597
78,8.628639493428185
79,8.627752030789422
80,8.776475560940192
81,8.795800802343699
82,8.306950674866066
83,8.327765346379353
84,8.54856881975526
85,8.76702799643826
86,8.60421235314511
87,8.794491365500583
88,7.763189895628386
89,8.187538431206432
90,7.031123121230307
91,8.354604758632366
92,8.471818198344137
93,8.490287685319386
94,8.580642785540395
95,8.604088799904817
96,8.54411081686698
97,8.640282138119135
98,8.267391505742799
99,8.565765154934352
100,8.65574149398744
101,8.606472238238776
