number,gpu_usage,mem_usage
1,91.5,85.68758695818562
2,60.2,83.32148552627854
3,72.9,83.22617883058999
4,81.2,83.17087158969262
5,8.1,83.19923293312908
6,58.8,83.22104128593791
7,62.6,83.27126340610823
8,10.8,83.24950747722443
9,34.3,83.25904863157828
10,99.2,83.29883839066939
11,99.6,83.2932290306921
12,99.0,83.3545125990419
13,99.4,83.342402672362
14,99.4,83.36117043751959
15,99.7,83.38329333387854
16,99.5,83.34785476056422
17,42.3,83.38366030135369
18,27.1,83.28562756156404
19,99.5,83.33296636585818
20,99.6,83.34691112991382
21,99.6,83.38575725835454
22,19.1,83.41154982946497
23,7.3,83.39005602020629
24,82.7,83.40258533828634
25,99.6,83.39770991325938
26,99.6,83.41794554831756
27,99.3,83.46067104720984
28,99.4,83.48473362879457
29,99.5,83.45988468833451
30,99.6,83.46308254776082
31,99.5,83.4810639540431
32,99.4,83.46465526551145
33,99.6,83.49962202350059
34,99.4,83.49165358689737
35,99.5,83.50932044962953
36,96.1,83.53380242261443
37,85.0,83.54544053396913
38,99.0,83.54963444797082
39,99.6,83.55052565469619
40,99.4,83.55692137354878
41,99.5,83.56420829912672
42,99.6,83.5438678162185
43,99.6,83.60515138456829
44,99.6,83.56090559185039
45,99.7,83.57532217123122
46,99.5,83.58732725006107
47,99.7,83.56703919107787
48,99.5,83.56567616902731
49,99.5,83.57495520375608
50,99.4,83.58622634763563
51,99.3,83.60121959019169
52,99.6,83.62229400805022
53,99.7,83.58082668335844
54,99.6,83.59786445899033
55,99.4,83.63419423903004
56,99.5,83.64095692535777
57,98.8,83.65285715633757
58,99.5,83.61170437519594
59,99.4,83.66863675776897
60,99.4,83.63366999977983
61,99.4,83.66554374619271
62,99.6,83.61993493142427
63,99.3,83.65138928643698
64,99.3,83.63471847828025
65,99.3,83.47519247444072
66,99.3,83.4689540273632
67,99.6,83.48211243254352
68,96.7,83.47325278921494
69,99.6,83.46890160343817
70,38.3,83.47922911666736
71,27.6,83.47508762659068
72,57.1,83.51770827763292
73,22.9,83.50213837190161
74,79.7,83.5241039964855
75,99.6,83.51435314643155
76,99.6,83.46879675558813
77,99.5,83.54654143639458
78,99.1,83.51844221258321
79,99.5,83.52242643088482
80,99.5,83.52604368171129
81,99.0,83.55409048159763
82,99.5,83.53841572801629
83,99.6,83.5473277952699
84,99.3,83.5404078371671
85,99.6,83.53631877101544
86,99.7,83.52766882338695
