number,gpu_usage,mem_usage
1,71.8,89.26085411155601
2,96.6,88.2560971645996
3,66.0,88.2336073007655
4,91.4,88.0805818636286
5,70.7,88.1616816756364
6,43.5,87.99376784379348
7,54.9,87.94333602792308
8,65.8,87.91639013046219
9,78.3,87.70648473467728
10,98.9,87.69641934107321
11,49.4,87.70412565805132
12,76.6,87.76603831350135
13,96.8,87.76630043312646
14,49.1,87.77699491383079
15,84.0,87.78014034933207
16,26.9,87.77007495572799
17,37.2,87.81253833499517
18,17.1,87.81369166134564
19,68.6,87.80278748494122
20,96.9,87.81169955219484
21,30.5,87.81694194469696
22,75.9,87.84498874458329
23,80.8,87.83167306762792
24,61.0,87.83649606872986
25,42.2,87.8533765725867
26,21.8,87.85332414866167
27,80.4,87.83576213377957
28,49.9,87.87051919606863
29,29.2,87.89604964755395
30,71.6,87.89814660455481
31,48.4,87.90040083333072
32,68.6,87.9073207914335
33,81.4,87.89861841988
34,65.4,87.93253669936871
35,49.2,87.91020410730968
36,88.8,87.9352627434698
37,84.5,87.94102937522214
38,32.4,87.95067537742605
39,67.1,87.95838169440417
40,90.3,87.97421371976057
41,76.6,87.9666122506325
42,21.3,87.9782503619872
43,38.6,87.96608801138228
44,30.8,87.99188058249273
45,71.5,87.99979659517092
46,68.6,87.9789842969375
47,66.8,87.99392511556854
48,96.7,88.00058295404624
49,56.1,87.99811902957025
50,65.8,88.02742400365709
51,71.4,88.0373321254861
52,52.0,87.44095755444486
53,98.0,87.4593059282023
54,25.8,87.43047276944063
55,96.7,87.45123264374902
56,48.5,87.45631776447608
57,56.6,87.44216330472035
58,80.5,87.4712061591821
59,21.8,87.46496771210458
60,98.5,87.47733975840958
61,22.9,87.45972531960246
62,44.5,87.44163906547014
63,94.6,87.47954156326048
64,17.3,87.4551120142006
65,96.4,87.45285778542467
66,98.7,87.47146827880721
67,72.3,87.4625562115536
68,95.0,87.46827041938091
69,88.1,87.4926999684408
70,98.5,87.48064246568592
71,44.6,87.49416783834138
72,52.3,87.5406678598352
73,98.5,87.54014362058498
74,58.9,87.54208330581076
75,56.9,87.54596267626235
76,95.2,87.55172930801467
77,66.7,87.53673606545861
78,33.7,87.56504498497006
79,59.2,87.53458668453274
80,40.1,87.57070676887236
81,95.5,87.57684036809982
82,73.7,87.59445480690695
83,33.6,87.57982853182604
84,61.5,87.59214815420603
85,41.3,87.5688719314966
86,72.7,87.58533304395326
87,62.2,87.57589673744945
88,85.6,87.57170282344775
89,37.8,87.59351117625658
90,33.4,87.57338038904842
91,98.5,87.57862278155055
92,96.9,87.6259615858447
93,95.5,87.61856981241671
94,19.8,87.60079810183453
95,31.9,87.71513468230577
96,34.3,87.58496607647812
97,98.3,87.59587025288253
98,99.0,87.62748187967033
99,44.5,87.64179361120111
100,98.9,87.626695520795
101,57.6,87.64357602465182
102,30.6,87.65610534273189
103,32.3,87.64724569940331
104,38.2,87.65348414648084
105,90.2,87.90543353013275
106,71.0,87.77217191272885
107,21.7,87.74616964591833
108,83.1,87.7495772010447
109,60.4,87.74826660291917
110,93.8,87.78548758968424
111,41.0,87.79492389618805
112,45.5,87.77877732728152
113,30.0,87.8042029309168
114,43.4,87.96640255493242
115,74.7,87.80263021316617
116,43.9,87.81327226994546
117,89.3,87.7930890588123
118,51.6,87.86150228096497
119,83.0,87.85400565968693
120,98.3,87.89017816795159
121,48.5,87.89924750698025
122,24.1,87.7114650075543
123,17.0,87.77474068505488
124,88.0,87.8568365516381
125,98.2,87.88357275339891
126,93.2,87.86144985703996
127,98.7,87.7312812512123
128,79.1,87.88346790554886
129,91.6,87.86270803124047
130,98.2,87.91188167291035
131,17.0,87.81641770544674
132,40.9,87.87308796839466
133,98.8,87.86606316244182
134,98.1,87.9268224915414
135,96.0,87.92147525118924
136,77.9,87.86957556541824
137,44.1,87.8956826800788
138,98.1,87.88829090665081
139,48.8,87.79471420048796
140,98.1,87.94207785372257
141,98.2,87.9003484094057
142,98.3,87.90045325725573
143,83.5,87.94595722417414
144,98.6,87.92692733939145
145,59.6,87.87162009849408
146,70.4,87.94941720322555
147,93.4,87.92299554501484
148,91.1,87.84839629970968
149,43.2,87.92178979473937
150,76.8,87.97641552461147
151,26.3,87.91812011998788
152,65.4,87.96849951193326
153,51.0,87.96482983718177
154,53.7,87.90338899705692
155,85.6,87.82952368670203
156,75.5,87.88813363487576
157,91.0,87.87182979419416
158,73.1,87.93557728701994
159,31.2,87.90003386585556
160,85.0,87.90910320488423
161,51.6,87.92456826276549
162,94.9,87.88572213432477
163,74.2,87.89583995185387
164,98.5,87.89882811558007
165,65.7,87.85793745406355
166,35.3,87.88739969992545
167,31.0,87.87717703454632
168,94.4,87.92986307919263
169,93.5,87.88635122142503
170,46.3,87.9166522500873
171,80.6,87.89033543972664
172,86.6,87.90590534545794
173,86.9,87.93861787467117
174,40.3,87.92058404446388
175,85.6,87.90275990995666
176,36.1,87.90658685648322
177,81.7,88.02627067730663
178,80.1,87.93410941711934
179,16.8,87.93012519881773
180,25.2,87.93667818944539
181,98.4,88.0687340565738
182,39.4,87.95209082340162
183,26.0,87.95319172582707
184,46.5,87.91460771701146
185,49.2,87.94469904997364
186,95.1,87.96671709848253
187,50.4,87.98454123298974
188,69.7,87.96729376165777
189,51.1,88.00205082394683
190,90.2,88.0002684104961
191,98.5,87.95193355162655
192,31.0,87.98338790663928
193,55.5,87.98275881953903
194,73.9,88.1445914760795
195,71.2,87.98648091821552
196,41.7,88.11030622911562
197,67.1,88.01725376220297
198,53.4,88.10244264036243
199,24.8,88.13221942977448
200,40.1,88.07549674290154
201,34.0,88.11806497001876
202,80.5,88.14113149702808
203,27.0,88.03686031016092
204,28.7,88.1268197654973
205,17.7,88.03413426605981
206,64.0,88.20351596780333
207,66.0,88.03654576661079
208,98.5,88.11953283991934
209,57.2,88.14202270375345
210,76.8,88.06385863154684
211,93.2,88.30044780516752
212,42.2,88.15722564200959
213,98.3,88.24634631454565
214,73.6,88.21625498158348
215,98.3,88.11623013264301
216,30.2,88.06149955492087
217,57.0,88.08498547333038
218,83.4,88.08902211555701
219,83.4,88.1579595769599
220,98.5,88.18584910507118
221,69.6,88.11381863209205
222,94.5,88.0929539099336
223,33.2,88.13557456097584
224,98.6,88.07748885205234
225,24.4,88.15172112988238
226,53.4,88.11754073076854
227,53.4,88.12147252514514
228,98.6,88.20770988180502
229,80.5,88.31575559127373
230,36.1,88.30605716514481
231,41.8,88.30915017672105
232,98.8,88.29305603173954
233,16.8,88.26102501355159
234,66.7,88.25174597882283
235,88.6,88.18799848599704
236,60.4,88.28514001906133
237,37.1,88.26071047000146
238,98.8,88.33777363978263
239,53.1,88.27816763703352
240,25.0,88.2946811734152
241,9.5,88.29399966238992
242,98.5,88.1688113294393
243,49.3,88.34988356646252
244,98.5,88.28519244298636
245,75.2,88.39187513040451
246,84.2,88.28445850803607
247,93.2,88.41148167836245
248,86.3,88.30894048102097
249,91.4,88.2390593889677
250,82.4,88.26170652457685
251,80.5,88.49556965409646
252,73.3,88.25520595787422
253,43.6,88.29384239061486
254,49.3,88.289229085213
255,73.4,88.40681594903556
256,90.2,88.3644049936934
257,15.4,88.56104713644794
258,7.2,88.55092931891885
259,98.2,88.40215021970867
260,82.2,88.51690619158009
261,67.3,88.40304142643403
262,80.9,88.3629371237928
263,86.3,88.70038992915431
264,50.9,88.56136167999807
265,96.3,88.62489947712378
266,98.4,88.53609334813784
267,49.4,88.43339487902131
268,71.5,88.44655328420163
269,28.6,88.58448063093243
270,34.7,88.52817733545965
271,98.4,88.59475572023658
272,59.8,88.81456923785049
273,84.3,88.6472320691828
274,56.7,88.20115689117736
275,51.8,88.25352839227355
276,33.9,88.45766715630613
277,71.0,88.52351160613277
278,98.4,88.58526698980775
279,97.0,88.50338081892461
280,96.9,88.28901938951292
281,90.8,88.36728830956957
282,36.2,88.37226858244658
283,39.9,88.52901611825999
284,28.0,88.40927987351157
285,53.2,88.61541074669493
286,38.8,88.44041968497415
287,31.2,88.31266257969747
288,35.4,88.50060235089849
289,6.8,88.39769418608186
290,47.8,88.43402396612157
291,32.9,88.49829569819757
292,72.6,88.38574153117703
293,98.9,88.33688243305727
294,74.8,88.39580692478111
295,45.2,88.42983005211987
296,98.8,88.42055101739112
297,74.5,88.296673282566
298,81.0,88.44739206700197
299,17.3,88.39250421750477
300,36.1,88.49368239279569
301,79.7,88.53777091373854
302,98.5,88.38935878200348
303,89.2,88.46390560338365
304,64.4,88.54180755596516
305,95.8,88.53006459676041
306,68.9,88.54138816456499
307,94.9,88.4370645537728
308,34.5,88.25704079524998
309,71.3,88.42500705101791
310,37.5,88.4978763067974
311,70.1,88.42212373514174
312,80.2,88.3710628321711
313,59.7,88.33939878145829
314,31.4,88.58767849035871
315,39.1,88.60980138671766
316,72.9,88.29080180296363
317,88.7,88.29551995621554
318,42.2,88.61970950854668
319,98.1,88.57934308628035
320,51.3,88.3915605868544
321,38.7,88.07035919824946
322,73.3,88.28928150913802
323,79.7,88.39402451133039
324,45.9,88.50421960172496
325,92.0,88.22134010231053
326,35.9,86.85407171383247
327,90.0,86.93952271161703
328,82.1,87.01826344699889
329,23.2,86.85622109475834
330,46.3,86.5989768946793
331,44.1,86.63703666424468
332,98.4,86.44532237044214
333,86.6,86.46256984177411
334,27.8,86.39337026074611
335,76.6,86.47132463725265
336,31.6,86.57418037814426
337,16.2,86.7567204850681
338,82.1,86.58990755565061
339,82.8,86.50094415488964
340,58.8,86.93553849331542
341,26.1,86.54356480593187
342,35.5,86.49423389248692
343,86.6,86.77066524912374
344,38.4,86.69208178551695
345,48.5,86.83687666642552
346,84.9,86.59326268685199
347,42.9,86.54503267583247
348,17.3,86.54351238200685
349,5.0,86.56705072434137
350,59.1,86.55284384066061
351,42.3,86.64379935057241
352,98.4,86.828174294872
353,54.9,86.63415334836851
354,28.5,86.60909471220837
355,80.4,86.6140749850854
356,92.8,86.6261849117653
357,98.7,87.01202499992137
358,98.9,86.79944598396038
359,30.2,86.85763654073392
360,98.8,86.62838671661618
361,69.1,86.83011398009778
362,98.4,86.78240820832849
363,88.9,86.6825930550881
364,97.7,86.82649672927131
365,28.2,86.74623570006386
366,93.4,86.83546122044994
367,45.9,86.97291675185555
368,74.9,86.79698205948438
369,48.2,86.63231851099276
370,59.0,86.8929702661982
371,54.1,86.65879259312848
372,67.4,86.68662969731474
373,94.5,86.66288165928013
