number,gpu_usage,mem_usage
1,90.6,88.7576892792025
2,75.7,88.48996029411919
3,75.2,88.53294791263657
4,30.7,88.48125792256567
5,52.8,88.40781200361096
6,62.0,88.07093586142469
7,34.1,88.0894939308822
8,50.4,88.091486040033
9,23.6,88.0828360924045
10,47.1,88.1023377925124
11,21.0,88.09767206318551
12,40.7,88.11088289229086
13,89.1,88.15193082558245
14,41.8,87.9458523763241
15,92.4,87.9930863327682
16,79.4,88.00131688899653
17,67.8,88.02857733000756
18,73.5,88.0125880328761
19,60.6,87.99880054059551
20,98.9,88.00168385647169
21,99.1,88.02653279693173
22,98.8,88.02370190498058
23,99.3,88.04876054114072
24,95.2,88.0264803730067
25,99.4,88.05672897774394
26,12.5,88.04760721479026
27,29.4,88.0437802682637
28,98.8,88.07497250365132
29,69.1,88.07292797057549
30,30.9,87.99995386694597
31,30.0,88.08907453948203
32,85.1,88.0904899854576
33,99.2,88.01295500035124
34,99.4,88.08425153838007
35,99.3,88.01856436032851
36,81.3,88.12744885259755
37,34.3,88.10391051026303
38,99.2,88.11885132889408
39,33.6,88.15900805546032
40,99.4,87.94433208249848
41,70.0,87.81751860787219
42,42.4,87.82926156707693
43,88.0,87.83272154612834
44,99.3,87.7950811679631
45,96.7,87.83183033940297
46,99.4,87.84954962606014
47,97.0,87.88262912274853
48,82.5,87.84320633113258
49,62.9,87.85552595351255
50,99.1,87.84472662495818
51,98.8,87.84661388625895
52,56.4,87.86124016133986
53,76.6,87.86129258526489
54,51.0,87.88220973134835
55,18.0,87.87324524016972
56,23.6,87.87660037137108
57,55.0,87.90391323630713
58,99.2,87.89117422252698
59,99.0,87.87916914369713
60,93.3,87.9003484094057
61,27.6,87.91319227103588
62,81.7,87.9008726486559
63,20.3,87.89452935372833
64,48.0,87.92991550311766
65,17.6,87.9206364683889
66,26.6,87.91565619551189
67,99.1,87.9510423449012
68,55.6,87.8321448829531
69,99.2,87.8894966569263
70,85.8,87.89809418062978
71,37.3,87.90538110620773
72,98.6,87.90774018283368
73,99.5,87.89867084380502
74,98.7,87.91151470543521
75,91.6,87.90863138955905
76,43.0,87.91628528261214
77,99.4,87.92713703509153
78,48.9,87.9387227225212
79,99.3,87.95549837852799
80,81.0,87.96446286970662
81,94.8,87.93851302682113
82,99.3,87.97159252350951
83,99.1,88.10354354278789
84,97.6,87.97594370928627
85,80.0,87.98160549318857
86,20.2,87.96289015195599
87,46.5,87.94973174677565
88,99.1,88.00053053012121
89,99.2,87.98228700421383
90,86.0,87.98925938624166
91,83.3,88.00236536749696
92,99.3,87.99423965911866
93,98.5,88.11775042646863
94,49.5,88.03182761335887
95,20.2,87.98359760233937
96,44.1,88.01075319550034
97,82.8,88.0069262489738
98,98.9,87.98800121204114
99,99.2,88.01305984820128
100,31.6,88.01924587135377
101,27.1,88.04640146451477
102,74.7,88.17803794024302
103,53.0,88.18107852789424
104,59.8,88.05206324841706
105,88.7,88.0702019264744
106,99.3,88.08828818060671
107,18.3,88.09824872636074
108,99.3,88.1020756728873
109,21.6,88.08645334323097
110,99.2,88.09064725723267
111,99.2,88.08666303893105
