number,gpu_usage,mem_usage
1,87.3,84.17426551459849
2,57.9,84.19266631228093
3,60.1,84.22139462319255
4,99.4,84.21347861051434
5,72.2,84.21767252451605
6,88.4,84.21363588228942
7,99.7,84.17578580842411
8,99.8,84.22758064634506
9,99.6,84.17484217777373
10,82.3,84.18312515792708
11,99.4,84.2254836893442
12,53.1,84.1975417373079
13,99.6,84.24058177975031
14,99.7,84.25552259838136
15,99.4,84.26564041591045
16,85.3,84.29295328084649
17,99.5,84.31114438282886
18,15.9,84.31512860113047
19,62.3,84.31182589385413
20,99.7,84.353502914246
21,99.7,84.3344730294633
22,41.0,84.34915172846922
23,99.7,84.35292625107076
24,30.0,84.32540369043463
25,99.5,84.33856209561495
26,57.6,84.3507768701449
27,99.4,84.35853561104803
28,99.6,84.3602131766487
29,99.7,84.39544205426296
30,99.5,84.39895445723937
31,74.0,84.37462975602953
32,99.7,84.41656889604651
33,19.4,84.3735288536041
34,99.5,84.41200801456966
35,17.2,84.3676049500767
36,99.5,84.43801028138017
37,91.1,84.412899221295
38,99.7,84.4143146672706
39,99.6,84.40781410056796
40,97.0,84.43947815128077
41,99.7,84.42957002945177
42,99.6,84.44854749030944
43,99.8,84.432610617103
44,94.4,84.43350182382835
45,99.6,84.40781410056796
46,99.1,84.41740767884684
47,99.5,84.4051929043169
48,99.6,84.47061796274336
49,44.1,84.47953002999698
50,99.6,84.46988402779306
51,99.6,84.45541502448721
52,99.5,84.3537650338711
53,99.5,84.33798543243971
54,98.9,84.36461678635048
55,99.6,84.37059311380291
56,99.5,84.33871936739001
57,32.3,84.34642568436813
58,99.8,84.38364667113318
59,99.7,84.35240201182054
60,85.6,84.49457569647805
61,99.5,84.55937166780426
62,99.8,84.51701313638713
63,99.6,84.5250864208404
64,51.7,84.39030450961089
65,99.5,84.3886269440102
66,66.5,84.43203395392776
67,99.4,84.38846967223513
68,30.6,84.34915172846922
69,99.6,84.39790597873895
70,99.7,84.20781682661206
71,35.6,84.35916469814828
72,99.7,84.37468217995456
73,29.7,84.39638568491333
74,99.6,84.39350236903718
75,35.9,84.40828591589316
76,99.3,84.42217825602377
77,40.9,84.39276843408688
78,99.3,84.38417091038339
79,25.3,84.39706719593862
80,99.4,84.4304088122521
81,68.1,84.37845670255608
82,99.5,84.41033044896898
83,69.9,84.40341049086618
84,99.6,84.42936033375167
85,99.7,84.41562526539612
86,99.0,84.43575605260426
87,99.7,84.46348830894048
88,94.0,84.43229607355286
89,99.7,84.39329267333709
90,87.4,84.39659538061342
91,99.5,84.35187777257033
92,18.9,84.42081523397323
93,99.5,84.43884906418052
94,87.0,84.42327915844922
95,99.7,84.45326564356135
96,99.7,84.46354073286551
97,9.5,84.43088062757728
98,99.5,84.44938627310977
99,99.7,84.48728877090011
100,88.9,84.4892284561259
101,99.7,84.47386824609467
102,36.6,84.47832427972148
103,99.5,84.46296406969027
104,99.7,84.4516929258107
105,74.1,84.49137783705176
106,99.5,84.51638404928687
107,75.1,84.50846803660868
108,99.8,84.44414388060765
109,99.7,84.45745955756304
110,23.6,84.58301485798883
111,99.3,84.4477087075091
112,99.7,84.44036935800612
113,8.6,84.4610243844645
114,99.5,84.52157401786397
115,99.7,84.4759127791705
116,17.0,84.47780004047128
117,99.6,84.49378933760275
118,99.5,84.63187395610859
119,99.1,84.553762307827
120,99.5,84.57310673615982
121,12.2,84.49462812040308
122,94.5,84.52566308401563
123,99.6,84.55910954817915
124,34.5,84.67653914022665
125,99.1,84.57609489988603
126,99.4,84.54553175159867
127,99.4,84.68728604485601
128,45.1,84.52440490981512
129,99.5,84.55889985247907
130,99.4,84.54600356692386
131,87.6,84.5616783205052
132,67.7,84.55538744950265
133,99.7,84.57955487893743
134,42.5,84.51853343021276
135,99.0,84.70065414573641
136,99.6,84.71727252996814
137,99.7,84.67538581387619
138,22.6,84.57394551896016
139,99.5,84.57043311598375
140,99.7,84.7058441143135
141,61.9,84.58673695666533
142,99.6,84.5381924020957
143,99.6,84.71805888884344
144,26.9,84.57693368268637
145,99.5,84.75124323338189
146,99.5,84.71774434529333
147,94.9,84.60188747099646
148,99.7,84.62369582380529
149,99.4,84.63826967496118
150,99.5,84.70642077748874
151,99.6,84.62264734530486
152,99.7,84.5320063789432
153,99.2,84.60435139547245
154,99.7,84.7377178607264
155,49.7,84.80020717935169
156,99.3,84.80335261485295
157,31.9,84.71779676921834
158,80.4,84.63003911873285
159,99.5,84.72912033702293
160,56.7,84.77656398916712
161,99.2,84.81467618265754
162,99.5,84.64676235081463
