no,fps
1,0.12037082317114468
2,3.9961546706555446
3,3.9375926473556486
4,3.6185056672009774
5,4.208587947493794
6,4.149871327694377
7,4.06061239742711
8,4.070566907156264
9,3.0909334767902017
10,4.099410837923741
11,4.181604467233013
12,4.180304161363593
13,3.8965491933873087
14,2.2869082086093617
15,3.7248202109690403
16,1.9755658026744038
17,3.384012386168993
18,2.612041548005084
19,2.0996001337559593
20,2.647370998934564
21,3.4200660316818348
22,2.634249035937245
23,3.010165209777663
24,3.7260478416873135
25,4.107234730938828
26,4.172340798039122
27,3.7973550812877477
28,3.791560637521797
29,3.118309484282079
30,2.3921331102206373
31,4.10531312733868
32,4.074841861156475
33,3.8512182244728375
34,2.6421611488095387
35,2.390392163455867
36,3.3894707750044244
37,2.9809966354279345
38,2.850820588039384
39,2.7033742032746226
40,3.7103451326259362
41,2.8703141787623094
42,2.124242464145244
43,2.4535167156379
44,2.4351481245377093
45,2.4495318544543907
46,2.0540276886762423
47,2.3107941636016247
48,1.9587734689026386
49,2.9409008713382514
50,2.919582266876698
51,4.077503900762654
52,4.095372096270396
53,4.174171968595464
54,2.832643683439555
55,3.8712197427126847
56,4.059130882482452
57,4.197578110926523
58,4.086705140359475
59,3.7993088549002914
60,3.195779499577508
61,3.6281305928544674
62,3.8976861837318246
63,4.158862176531597
64,3.987974191290987
65,3.0014132955691215
66,3.880129883345514
67,3.7898921847497262
68,4.197716743712639
69,4.197809170657499
70,4.105216692554867
71,3.7533056046733053
72,3.8777084903087427
73,3.658702833500961
74,3.8419474715424293
75,3.405484755186614
76,3.6049117445081507
77,3.709997249104632
78,2.931644649472286
79,4.112711908448294
80,3.277586108543221
81,3.7952522067240047
82,3.609108681884517
83,3.77137451872153
84,2.46126979171679
85,2.948028078037658
86,3.688444853655684
87,3.2906825670798683
88,3.8937060028722588
89,2.8575504650847496
90,3.2713613617361137
91,3.3356613936709736
92,3.597481773737027
93,3.6989678211360317
94,3.4077563492688965
95,2.3063025018324264
96,4.133911684205443
97,3.1114899425447233
98,3.269688427669818
99,2.5283889651114846
100,2.219290661558894
101,2.3851817815800427
102,2.546623388135805
103,2.778691353755301
104,2.531156800859348
105,2.402197444714518
106,2.005401856942113
107,1.7743611134260835
108,2.1175332576044426
109,2.2237972535920685
110,3.6182871576506477
111,3.211277397047891
112,3.913071547855617
113,3.29674012660954
114,3.3402171541246384
115,3.5788340194970027
116,3.680004913336638
117,2.2274677746904925
118,2.3794202441423646
119,2.4737815267799586
120,3.0644772171829167
121,4.10155953577701
122,3.831411828649466
123,4.071562671698963
124,3.6203765643787325
125,3.9797629394596115
126,3.1982626624941286
127,2.320444935473181
128,2.798672962001126
129,3.4993563286286506
130,3.880338084876475
131,4.144126911357286
132,4.118527217721149
133,4.072899025837826
134,3.7531813378217915
135,4.117908560387687
136,4.164250603395296
137,4.1363169723644235
138,4.038401509717361
139,3.1836049397709245
140,2.759294345501242
141,4.08950232394428
142,4.144544597561675
143,4.172050283786284
144,4.121720501960476
145,4.2004450506640705
146,4.067965204639511
147,2.702639102690909
148,3.4815967700029966
149,4.148697369813639
150,4.187064565366481
151,4.067472085432057
152,4.0945804921145506
153,4.094260738846291
154,4.1119619617166245
155,3.7928772504446857
156,3.818710873341612
157,3.740032207957113
158,4.068864962083915
159,3.9942899316715472
160,2.7991735228322328
161,4.14804910443643
162,4.116388989212192
163,4.127248592123765
164,3.5031236845446103
165,2.3692643837365233
166,2.042982323687428
167,2.052072080534811
168,2.740100031880589
169,2.945423723338439
170,3.338183456257765
171,2.9341692614530293
172,2.847290653770384
173,2.339189061821167
174,2.3232597724655513
175,2.1362354965267043
176,2.813822825198057
177,3.6531771366358194
178,3.0617883080867254
179,2.3170198015152894
180,3.483696171285095
181,3.2958541568442556
182,4.1375492371145
183,4.129442841291829
184,3.6214768925248775
185,3.336186730193324
186,3.508227929626402
187,3.2228078964596247
188,3.088441274902159
189,3.163984188769198
190,2.7606237478049565
191,3.2318943430537415
192,3.793971694716866
193,3.7446702134593015
194,3.8929976601011513
195,3.9754062079705195
196,2.744148008379709
197,2.430721067446172
198,2.4753378260743832
199,2.916125407942911
200,2.796745235242304
201,2.1193361511622912
202,2.7566701785264778
203,2.286045667456242
204,3.146115758767268
205,3.5649904889479704
206,2.5960056347931144
207,3.0120393849105898
208,3.249136647512042
209,2.787711298052798
210,3.9709800528100176
211,1.9777987667238963
212,4.007525269752639
213,3.8742985616993213
214,3.737709183814415
215,3.738772017399986
216,4.145839140448161
217,3.332896819594805
218,2.99774292179417
219,3.1408361476999573
220,2.5909029698713537
221,2.605335768282305
222,1.981800321393151
223,3.996425011957916
224,3.869966017997636
225,4.14098059290516
226,2.786211312898612
227,2.7746987513437524
228,3.815879421855198
229,2.812715179916228
230,3.904772899079084
231,3.0777828654620594
232,2.7389977849291594
233,3.9139661728683075
234,2.9465617858495197
235,2.828893358315359
236,4.103076203687219
237,4.126201051642639
238,3.682945440336481
239,3.933574857706631
240,2.34559639763981
241,3.8228701166009365
242,2.6222807687714873
243,4.076196214679657
244,4.065630849252023
245,4.075712979437313
246,4.003413249440193
247,2.7976555824658274
248,3.174727548794463
249,3.7034652350699977
250,3.916096661008625
251,3.996920097885998
252,2.439650935335323
253,2.578959698220868
254,2.4529829303710966
255,2.745743228115839
256,2.7646396967949247
257,3.1679128939966588
258,2.7747042580751007
259,3.719990350366828
260,4.077583181431523
261,1.9328696748553449
262,3.175537565007113
263,2.917870067494334
264,4.008413809580695
265,3.7224103211744
266,2.1256398249337622
267,2.4824609739135584
268,2.5295005593566344
269,2.105676832657012
270,3.572140684789524
271,3.4017367551535336
272,3.584234952901576
273,3.771049002102068
274,3.7914201156688017
275,3.7690124088030705
276,3.759320539065777
277,3.6809318032625753
278,3.990470753891236
279,3.8837730426054393
280,3.2213722634913027
281,3.871437709353081
282,4.0337874942416425
283,3.7315871886120995
284,3.6754322087886764
285,3.709573969416364
286,3.783884921941604
287,3.9132248830969147
288,2.055131748700201
289,1.8564329769600347
290,3.7057393271133727
291,1.8886659437962225
292,2.4553810452936378
293,2.4263086742057656
294,2.7633264507730035
295,2.89728107737335
296,2.085380029732162
297,3.71930421951704
298,3.801092395013082
299,2.846202861061216
300,3.018837939594509
301,3.4808801988456
302,3.5354603562346116
303,2.5624085138619064
304,3.4242682524598407
305,3.7444228302178195
306,2.997850052605096
307,3.977023308560126
308,3.9081092514099947
309,3.984662914730214
310,4.113264463539347
311,4.1153550291213365
312,4.140310214492799
313,3.8817673810797455
314,4.101800201847926
315,4.027748542279652
316,3.664779945652649
317,3.543944172983313
318,3.661913101784027
319,3.586334269326666
320,3.8903364516841137
321,3.8751289999214684
322,3.040734479168781
323,4.160698041915449
324,4.070598511243316
325,3.784065852769548
326,3.8075000680834066
327,4.022313880772067
328,3.707632714614298
329,3.1021948989825776
330,3.323605716124104
331,1.8258172922053613
332,2.3381849663485204
333,2.4305126016479233
334,2.6396984643153614
335,4.146810578445069
336,3.8589212916236932
337,4.074050258519287
338,4.053250869733282
339,3.9238598102950353
340,4.102510331336349
341,2.5694582536179014
342,3.138183023465832
343,3.5858620919603514
