no,fps
1,14.673504943290348
2,15.658801744220776
3,15.614091123991617
4,15.612115076100753
5,15.564492966056724
6,15.648344432630067
7,15.565012802909415
8,15.61013952830575
9,15.56264493842552
10,15.65336687205401
11,15.641458421125254
12,15.666873351810487
13,15.637901078989165
14,15.688438376659809
15,15.554449607458475
16,15.641458421125254
17,15.642566776313336
18,15.620429474813232
19,15.548337590219418
20,15.639650389284968
21,15.625317587452967
22,15.486222543854144
23,15.638484138939017
24,15.558777051539813
25,14.699526172652591
26,15.633471243803347
27,15.596034714837097
28,15.604099778641716
29,15.595280854592168
30,15.636735089511397
31,15.632364177124137
32,15.629568075362297
33,15.573681865438884
34,15.58838351928523
35,15.68315883936584
36,15.625550431031272
37,15.642275088666699
38,15.59522286836117
39,15.588499390479589
40,15.642508437913737
41,15.622116691807737
42,15.711416359815551
43,15.57651585205982
44,15.621127589366187
45,15.638659065402441
46,15.684800981257386
47,15.56356889738214
48,15.62491012788848
49,15.551508320232552
50,15.684273112433205
51,15.59684664584263
52,15.670853726882122
53,15.608164480416782
54,15.677179657773358
55,15.678527506457485
56,15.627529881665623
57,15.612579983547306
58,15.580797705769381
59,15.681927458582747
60,15.618742622224374
61,15.693662749147837
62,15.620603997601588
63,15.57535899825839
64,15.683452053770075
65,15.602474490649982
66,15.625142959323183
67,15.62793747787693
68,15.566572521832075
69,15.47199822937032
70,15.616939837810063
71,15.628927442914208
72,15.603577327718337
73,15.652607459266612
74,15.679054988598557
75,15.626656532802796
76,15.67512902827971
77,15.623455088615893
78,15.50345235455016
