no,fps
1,0.21919601968043181
2,21.25215470285115
3,22.177299789558283
4,18.550002653599165
5,20.986000340234764
6,22.346619213289788
7,22.47438191891805
8,23.47317346167837
9,21.494040115200526
10,22.94979207704093
11,22.35471818787475
12,22.215710888299196
13,22.543476625065843
14,22.19560776842885
15,21.74837184220351
16,21.13361482571322
17,21.88157469141599
18,22.804053760167022
19,20.20825423745146
20,19.330906007171365
21,21.644110741285445
22,22.771492635362204
23,21.548259156318874
24,21.552466741003755
25,22.8317356631556
26,22.564822087605847
27,23.143924470415556
28,23.24783141278261
29,24.58272183800258
30,23.723573097132903
31,22.010757935945676
32,18.506949530961815
33,17.459316580153434
34,22.572108191886684
35,16.280150446565465
36,21.179502716677774
37,22.179997144413363
38,21.93891652413158
39,22.11159377504112
40,22.601056148291843
41,22.441073712032445
42,22.759136365856172
43,20.820054106376112
44,22.4731777363424
45,22.457294611496618
46,21.781237504219355
47,21.933639078163647
48,20.360303683423624
49,22.000251772900842
50,21.939949364969767
51,22.21947692128391
52,21.09768415122432
53,21.45018078419941
54,21.727641939494404
55,22.646207008260895
56,22.501872337686027
57,21.879634218227533
58,22.328061368439545
59,21.26972149536502
60,18.54745974820796
61,20.4053729281096
62,20.73883032376733
63,20.97854781351753
64,21.70953566492927
65,22.142176892295673
66,21.45511836801506
67,21.565986415544483
68,22.32235746180088
69,24.101871006297984
70,22.182225889022867
71,21.011652255808595
72,21.528792801671262
73,21.902370757180158
74,22.37403647653137
75,23.422706204277656
76,22.67007539929195
77,23.13639222002802
78,23.115098675690124
79,21.07319818122441
80,22.318793999797794
81,22.89967241755842
82,22.81807251856486
83,22.738038186726804
84,21.76823749221507
85,22.19290661558894
86,22.42307795116892
87,22.01329939381216
88,20.841365671382217
89,8.83602917321491
90,21.914500977042124
91,22.956575044059857
92,19.850464989706335
93,21.222690542571332
94,20.79610485554349
95,20.936346937145597
96,20.18539961210651
97,19.71581945867687
98,22.335790056660844
99,22.03122176699233
100,20.223941984541426
101,21.66938246219499
102,21.24515763027798
103,21.038633240035715
104,20.668621354056306
105,19.147002163810498
106,20.445358694009663
107,22.828753218054853
108,21.232252055238327
109,20.12834368311434
110,22.068779728080145
111,20.079680969729466
112,20.24551580329388
113,22.133997551399503
114,19.606514463080348
115,16.565574223717782
116,20.78013495704561
117,21.62870830174863
118,21.93088663588687
119,20.9321675250529
120,21.332139823719988
121,22.326040901493617
122,20.930391780152
123,23.0918099936136
124,20.97047147642618
125,22.22289099174517
126,21.470933923050147
127,22.010295915743516
128,22.075051841559564
129,22.417684849650986
130,23.090665859230917
131,21.87427117123695
132,22.53984222179231
133,21.654614824643375
134,22.075400396844195
135,22.164174214481235
136,20.762031106139055
137,22.3727236843509
138,21.986528068271767
139,17.367502681126116
140,18.545409525830813
141,20.220334570698547
142,15.517103092096988
143,16.91278891595026
144,18.811068753643987
145,21.67621370763522
146,20.46730787060758
147,21.08177769735718
148,19.883872191144402
149,21.55135932257385
150,21.582076957116836
151,20.948058174844174
152,21.89391044713792
153,21.6028636913806
154,19.293825411355577
155,21.084639088710933
156,20.692788143704302
157,21.329970148342902
158,18.187788093369353
159,21.148639858817596
160,16.943875963981725
161,17.22931317778508
162,22.134815213548016
163,17.661640299645025
164,20.299111917725348
165,21.459070072036674
166,22.07319306592007
167,22.263469112604437
168,22.64315059249062
169,21.45621591757809
170,21.56886985050987
171,21.9744331279601
172,22.0342309591603
173,22.41504916631039
174,22.063903881156037
175,20.444561429163315
176,23.689004106022356
177,22.048825619782576
178,22.705296435840804
179,22.543355459407163
180,20.038526219232534
181,20.34637754978292
182,16.248364240693896
183,15.708356584560187
184,16.88385442454543
185,18.830408411563205
186,19.999446884193762
187,20.101044277560252
188,23.109622250628114
189,22.857616200809822
190,22.925080756680533
191,22.578062001733336
192,21.06663586091202
193,22.15363813065157
194,20.762853324092866
195,19.77260791884107
196,20.322027985580835
197,20.872895568439127
198,22.469806711524452
199,21.22236839442207
200,22.1324791962387
201,18.949854746382215
202,22.398889215241248
