no,fps
1,0.12576949896901374
2,8.019686386832912
3,7.61314797369534
4,7.597881297596533
5,7.831023467095842
6,7.45980286489736
7,7.997666086366245
8,7.647991772713929
9,7.63284908108541
10,7.435193178695833
11,6.603705616364163
12,7.462311298515297
13,7.7293700301301955
14,3.4769990881207
15,6.299721234259348
16,7.749663725185875
17,7.833758549458923
18,7.67774128948881
19,5.430925806033924
20,5.9940721008600315
21,7.888715853777808
22,7.609846725499303
23,7.950669237082995
24,5.573196383132802
25,6.953456333502985
26,6.848581234875922
27,6.410133206179202
28,7.174496632815213
29,7.6934296929454495
30,6.107255079545818
31,4.158280813314258
32,6.7542867449080815
33,8.112914925018037
34,7.763189895628386
35,7.529384731930966
36,7.809720293001553
37,5.219457683644644
38,6.809775232009144
39,4.329157248284048
40,7.296383211532808
41,4.19498358734115
42,5.596345160326203
43,6.484299053861852
44,3.9071445072920628
45,7.939652414565954
46,8.134675955376952
47,7.9782999882065155
48,7.87436473651702
49,8.02187974555233
50,8.076950777306838
51,7.993048038662662
52,7.977237801074206
53,8.013603414609914
54,8.013649347051462
55,7.8335537177734444
56,7.864767308640679
57,7.944630281356664
58,8.023414275821699
59,7.818702756107336
60,7.9283363609040745
61,7.59512961849644
62,7.972219001549091
63,7.492879243692075
64,6.833829730381455
65,6.656061750572881
66,7.333340326951657
67,7.001756154888855
68,7.876967455871333
69,7.648131230523204
70,8.157886649771172
71,8.104481101542136
72,7.851428935117155
73,8.04466633549236
74,8.032572266844388
75,5.344342339311835
76,7.409292211267879
77,5.592278575018966
78,5.141206220482189
79,3.832518121818459
80,4.133190643150378
81,5.726739367592063
82,7.670692543471422
83,8.101053021933451
84,8.038191097304123
85,3.826734656079587
86,8.071852369323025
87,7.924591471006675
88,7.69994070337183
89,4.002798129109037
90,6.259977702124865
91,5.0878778027395395
92,3.713574370579715
93,8.061148044150517
94,8.062883627227272
95,8.133855641314044
96,7.984922269731457
97,7.985925683343107
98,8.237111053503956
99,8.216344128991564
100,8.110012838956177
101,5.831991312436648
102,7.949614393937958
103,7.786971043255958
104,8.062372172415383
105,4.9144474752303555
106,7.262247878534981
107,7.295799392234729
108,5.5446401070246845
109,4.985141930752674
110,5.906438875464003
111,3.8305265542006706
112,5.511779029687071
113,6.219145989579163
114,5.512662827972436
115,4.5642899039000415
116,5.462279274926518
117,4.166422301955315
118,3.994274716473713
119,4.066198418815226
120,5.727294575167683
121,6.401162320428667
122,4.948184676368055
123,6.122258210952998
124,6.191119619880408
125,6.313528094217384
126,5.241694066717405
127,5.98629560223278
128,5.77596551747881
129,5.468054483636136
130,6.238933538010261
131,5.618482583832428
132,6.398877150158282
133,6.219459536406558
134,5.051540282933198
135,6.330327375247709
136,6.2582870784840345
137,6.187731064171296
138,5.150695428567218
139,6.374235002864703
140,6.454701864864282
141,6.324142329630696
142,5.377678226853876
143,3.706725088574057
144,4.69341067835794
145,4.353502893821256
146,4.819283088805573
147,3.552522963947978
148,4.986291663843208
149,6.41372075882549
150,6.147193659205759
151,5.802703028005628
152,6.258090987898021
153,6.232295930876158
154,3.928347048146393
155,3.7421444305955682
156,4.140555449707349
157,3.278487909009404
158,6.630063276632539
159,8.10031769329561
160,7.300574221476475
161,3.7196307598440246
162,7.675647780280834
163,6.591138594023776
164,5.103056258516644
165,6.933203737773965
166,6.820294841733147
167,7.985682408401685
168,4.177556177285263
169,7.81635688009452
170,7.947656141933259
171,7.731892019437091
172,7.958362980545736
173,5.690996150647145
174,4.457321635040468
175,4.8243495824146
176,8.19930250379244
177,8.066186397326081
178,7.880741495090395
179,7.203081610117243
180,3.6706170635441553
181,8.043015701344624
182,7.8864760687055195
183,5.479856389566817
184,7.982111014476756
185,8.041103664054232
186,7.871926248737843
187,7.410077611138691
188,8.05901058509095
189,4.361878654134541
190,5.875601491067464
191,5.538182831293087
192,5.443507264621714
193,7.7523422612501545
194,6.751427371077848
195,7.736056188396388
196,7.5004229188013785
197,8.118599614036379
198,5.18256786645414
199,7.913154051943054
200,7.957759011594264
201,8.1171070049001
202,7.994708702240605
203,7.9790588665002735
204,8.165382765944607
205,8.071836835237923
206,4.933326119327498
207,3.682583275751411
208,6.6105540547781985
209,8.068498394689104
210,8.067287922064184
211,8.080483021426948
212,8.008844606451293
213,7.742253692717197
214,7.923872856940443
215,6.791526266275246
216,6.8103170286178205
217,6.745281941677
218,8.00633741383885
219,7.8223628015233295
220,6.602593305638244
221,7.468809208370728
222,7.7334601868138755
223,7.739082300669417
224,8.19273606613094
225,6.852598129314218
226,7.908752359348867
227,7.807714072970961
228,8.150182559407105
229,4.42791644365056
230,6.574360598076113
231,6.06818326494945
232,3.905881958535838
233,7.936227178378092
234,7.883407700895794
235,5.988415240939859
236,8.112554012077043
237,7.535972948644468
238,7.708998141813964
239,5.203341111727262
240,8.122970614949908
241,7.816036434923261
242,6.136949100959688
243,8.1519725410776
244,7.579661090459608
245,7.643113951407605
246,7.856164319415907
247,7.0608919916703
248,7.6390909521398465
249,6.863823366728089
250,6.137047875453588
251,4.057104884133265
252,6.890910046790389
253,3.3905174246545666
254,5.578058566699782
255,4.848132899028825
256,5.103484694914285
257,4.367165130182899
258,6.158937227151984
259,6.906534715418371
260,8.186547631362705
261,4.473518667640801
262,3.849889073587765
263,3.9119511050880593
264,4.8244605657115445
265,4.096180007910504
266,4.75938048568488
267,4.731200649731535
268,5.097765726391119
269,5.0335715125782166
270,4.670493506435661
271,4.654375006242003
272,6.10581480661954
273,6.0754348024468
274,3.694442266852579
275,6.833306451744289
276,3.5966056814362055
277,4.72663140919812
278,7.915244705624814
279,8.232810297922121
280,4.3096341186491705
