no,fps
1,15.644317130665712
2,15.558257631117227
3,15.636443619309645
4,15.709356764571488
5,15.633587786259541
6,15.654476915612287
7,15.704063141184047
8,15.625142959323183
9,15.597426648321
10,15.631432032050684
11,15.589252595232875
12,15.566399204293253
13,15.579061535432924
14,15.589136712840965
15,15.629043917634872
16,15.705650853563098
17,15.626714753023405
18,15.685622181168146
19,15.69883184303803
20,15.632597230763496
21,15.623862472295171
22,15.483878589201202
23,15.570791105171326
24,15.606131864860842
25,15.668804751853859
26,15.71241692952027
27,15.637901078989165
28,15.635161279500188
29,15.638192603529337
30,15.634753306395098
31,15.593367536619823
32,15.627005860633902
33,15.648110909233358
34,15.657924896685344
35,15.655996177735307
36,15.638309216388834
37,15.634345354580189
38,15.547242547576156
39,15.625725068269112
40,15.67518761024905
41,15.618800783490105
42,15.615486282525252
43,15.64245009994928
44,15.615021201979099
45,15.639825341840027
46,15.4988119916784
47,15.624968335096634
48,15.647468755829136
49,15.624560893746532
50,15.602416450912122
51,15.628403328154052
52,15.655470245938048
53,15.627180530406337
54,15.486679983606134
55,15.56455072399231
56,15.63201460969383
57,15.636327034271421
58,15.596672653510485
59,15.669624277564623
