number,gpu_usage,mem_usage
1,33.5,73.10690753001137
2,2.3,78.00314228841846
3,0.0,81.7337316850561
4,0.6,84.16342206427484
5,0.0,88.07220028864599
6,0.0,88.49929778189247
7,83.2,88.50705651872818
8,99.6,88.68555988984691
9,19.1,88.6378017191893
10,99.3,88.7477346323276
11,76.5,88.79329099928862
12,92.4,88.7736844616092
13,99.5,88.75502155408547
14,99.6,88.74668615437685
15,2.6,88.75953000927379
16,99.0,88.91376111583217
17,76.0,88.78107623116213
18,99.1,88.86479719553118
19,99.6,88.84734003765085
20,99.5,88.87386652980534
21,11.5,88.95239752831809
22,52.8,88.92912131781097
23,99.2,88.895832142874
24,99.2,88.98012977011597
25,99.6,88.99816359086923
26,99.5,89.0236940289705
27,68.6,88.99344544009075
28,99.7,89.0056077843197
29,99.7,89.03674757945758
30,99.5,88.99334059229568
31,99.6,89.17792513552888
32,99.6,89.05845107303854
33,99.6,89.16466188945164
34,99.6,89.16156887949685
35,99.7,89.1681742905867
36,99.6,89.13787327780943
37,99.6,89.21960213407202
38,67.2,89.1961686518723
39,92.3,89.11653675151126
40,9.2,88.94731241025684
41,57.1,89.1041122877946
42,99.3,89.12492457511742
43,99.3,89.24445106150529
44,85.8,89.23884170446867
45,79.5,89.13299785533835
46,99.7,89.2771111496718
47,99.5,89.20591949681446
48,99.5,89.20036256367537
49,49.7,89.1398653859159
50,99.3,89.2206506120228
51,99.5,89.26374305579947
52,76.5,89.29362467739644
53,99.6,89.2489595166936
54,85.7,89.2307160003502
55,99.7,89.29047924354413
56,99.5,89.32513143981711
57,99.5,89.307307314654
58,18.3,89.27354632463917
59,0.9,89.25944429620131
60,76.9,89.27580055223333
61,99.2,89.31868330041986
62,99.2,89.29530224211767
63,99.5,89.15784678277163
64,99.3,89.25000799464438
65,99.5,89.27511904156533
66,80.4,89.28203899604043
67,85.2,89.24686256079207
68,99.5,89.25860551384069
69,75.8,89.27999446403642
70,99.7,89.27910325777827
71,93.8,89.32822444977188
72,99.6,89.3109769874817
73,99.6,89.29053166744167
74,99.6,89.31784451805925
75,99.7,89.30667822788354
76,99.5,89.33918104435743
77,17.8,89.42295443262402
78,35.4,89.41535296748093
79,99.4,89.43889129747575
80,99.6,89.42127686790279
81,87.0,89.45047697883174
82,84.4,89.47873345960502
83,99.8,89.46258689916316
84,99.8,89.44381914384437
85,99.7,89.3988394397563
86,93.6,89.43338678823419
87,99.6,89.45645330315115
88,99.6,89.49891666015736
89,99.7,89.43333436433664
90,99.6,89.44858971852037
91,99.6,89.52937494462726
92,99.5,89.47464439559702
93,99.6,89.48135465448196
94,99.6,89.45723966161422
95,20.8,89.46180054070008
96,99.3,89.33891892486973
97,99.5,89.48932308690782
98,96.9,89.46830110399486
99,99.5,89.4969245520509
100,80.2,89.4891658152152
101,69.6,89.55511507831868
102,77.5,89.56947922624424
103,81.8,89.52911282513956
104,99.5,89.53393582371311
105,99.4,89.55674021914237
106,97.9,89.54536423337652
107,73.0,89.51081688489862
108,69.2,89.5639747170027
109,80.0,89.55301812241714
110,84.9,89.55422387206052
111,99.5,89.55317539410976
112,99.7,89.55055419923282
113,99.7,89.57902037559626
114,99.8,89.5932272518292
115,99.7,89.5989414566609
116,93.4,89.5914448393129
117,94.0,89.6574465263139
118,90.0,89.6624792204776
119,99.3,89.81000006815107
120,99.5,89.59757843532489
121,99.5,89.62704066574156
122,99.6,89.59453784926767
123,99.6,89.61068440970953
124,99.6,89.65194201707236
125,99.6,89.59983266291906
126,99.5,89.61451135422985
127,99.5,89.76370976662453
128,99.5,89.65718440682622
129,99.3,89.60009478240674
130,99.5,89.62237493886063
131,99.0,89.67091946798132
132,63.3,89.69325204833274
133,23.7,89.62960943672094
134,59.8,89.76360491882946
135,36.4,89.70588620763952
136,12.7,89.69487718915643
137,26.0,89.70363198004537
138,99.1,89.6499499089659
139,9.2,89.64088057469174
140,27.3,89.55736930591284
141,81.9,89.77456151341502
142,6.5,89.59154968710796
143,99.3,89.57718553918241
144,99.4,89.61676558182401
145,76.5,89.65928136272777
146,99.1,89.8603794336856
147,99.7,89.65571653769514
148,93.8,89.81933152191293
149,99.4,89.72921484204419
150,99.1,89.7890829330332
151,98.7,89.73865114360112
152,93.4,89.99783489303167
153,99.5,89.8507334365385
154,99.6,89.82284392304801
155,99.5,89.90431065982291
156,99.2,89.92140085042047
157,9.8,89.70787831574599
158,63.0,89.75532194301837
159,99.4,90.00155698975689
160,78.3,89.86787605103362
161,72.6,89.84737830709605
162,99.1,89.91778360149031
163,99.2,89.8487937523296
164,98.6,89.81340762149107
165,60.4,89.7673270155547
166,99.0,90.07804345626562
167,88.4,89.95809757869745
168,99.1,89.98126894140948
169,99.5,89.89901584617151
170,99.3,89.98829374367965
171,99.1,90.01712688732584
172,99.5,90.02478077636647
173,99.5,90.02572440652217
174,97.6,89.97571200827039
175,99.1,89.91626330846168
176,55.0,89.86100852045607
177,77.6,89.95862181767284
178,99.2,89.78441720615226
179,99.0,89.8834983725001
180,37.9,89.77891269691072
181,7.6,89.94923794001343
182,99.5,89.91107334260538
183,99.2,90.0083720964369
184,87.6,90.02640591719016
185,86.2,90.05046848616036
186,99.8,90.01917141932985
187,94.0,90.0072711945886
188,99.2,90.0909397350601
189,99.6,90.05104514903329
190,99.6,90.01555417039968
191,99.5,89.99699611067105
192,20.3,89.99128190583934
193,99.5,89.95143974371005
194,97.4,90.13670579761126
195,76.2,90.07846284744593
196,99.7,90.05775540791821
197,99.5,90.08312857432686
198,99.6,90.11238110915338
199,99.6,90.10897355581336
200,99.5,90.03841098972649
201,99.3,90.03699554449295
202,99.0,90.15264266246297
203,98.4,90.20485686441135
204,99.5,90.22755641204554
205,99.7,90.1952632911618
206,76.0,90.24270691843418
207,99.0,90.06367930834006
208,99.5,90.02907953596463
209,99.6,90.03862068531664
210,7.1,89.98368044069626
211,81.0,90.17466069942915
212,99.7,90.19783206214119
213,99.3,90.15096509774173
214,89.1,90.06771594845053
215,99.5,90.42304512596677
216,99.5,90.35232528818727
217,99.6,90.82461218111199
218,8.9,91.04122772574124
219,63.4,91.3698207155128
220,99.6,91.38214033143437
221,3.0,91.46444585056987
222,99.5,91.57893964279404
223,99.6,91.46140526451263
224,99.0,91.83398190431905
225,21.4,92.51790407160685
226,99.4,92.85918364458276
227,99.3,92.32708108456656
228,99.1,92.43103767338549
229,68.3,93.49875519455296
230,99.5,93.03884034144733
231,97.7,93.5582563182592
232,71.9,93.93146204483607
233,54.2,94.26671286959503
234,98.9,94.17460408161982
235,99.3,94.18204827507029
236,84.9,92.35020002338106
237,7.9,93.22436851483621
238,99.2,94.0788256208169
239,99.2,93.06431835565107
240,76.2,93.12245645802129
241,92.8,92.83821408556734
242,93.5,93.62247559274391
243,99.2,93.65193782316055
244,99.5,93.47165203952552
245,99.6,93.21718644087345
246,94.0,93.2713927509283
247,99.0,93.35317403108841
248,51.5,93.10049084495266
249,93.3,93.06589107257722
250,94.0,93.0405703300661
251,99.6,93.28732961578001
252,9.2,93.31039613069697
253,99.4,93.43228169247408
254,99.7,93.29802409087787
255,99.2,93.32764359298716
256,99.8,93.46960750752153
257,99.1,93.65109904079995
258,93.9,93.18305848357585
259,83.8,93.07055679945815
260,99.4,93.47332960424676
261,8.8,93.27417121749784
262,98.9,93.44192768962117
263,99.1,93.76889553856905
264,99.4,93.65791414747996
265,99.2,92.99422760464203
266,99.4,92.78762502444265
267,99.3,92.80523945401559
268,16.1,93.07118588622862
269,99.2,93.12486795730808
