number,gpu_usage,mem_usage
1,27.3,65.98695588581445
2,0.0,72.21921367299126
3,4.8,79.62120588594553
4,75.7,82.07396278008122
5,56.4,82.07086977012645
6,24.2,82.13084270891055
7,94.7,82.21812849831221
8,14.2,82.21666062918113
9,98.4,82.17236243576107
10,50.9,82.11820854960375
11,94.3,82.15223165910626
12,30.3,82.24869163057718
13,98.4,82.24711891365104
14,91.9,82.2707620914409
15,54.2,82.29807494205849
16,69.0,82.17708058653953
17,75.8,82.22017303031622
18,98.3,82.33057775853239
19,45.6,82.3529103388838
20,44.6,82.40821755078697
21,50.6,82.30593852668927
22,76.9,82.32648869452439
23,35.5,82.25477280269166
24,90.4,82.33256986663885
25,76.1,82.32979140006931
26,83.3,82.19474744001002
27,14.9,82.24968768463042
28,79.7,82.26798362487136
29,43.4,82.30441823366064
30,22.7,82.49146670007816
31,50.0,82.48832126622585
32,34.1,82.48381281103754
33,98.5,82.52071923490467
34,78.9,82.36926659491583
35,85.7,82.40276546544295
36,80.8,82.4558708736495
37,98.7,82.43574009699469
38,68.3,82.48203039852122
39,25.6,82.3941155223491
40,77.4,82.40218880257004
41,61.3,82.47888496466892
42,98.4,82.38321135166107
43,50.6,82.38656648110354
44,54.7,82.35416851242474
45,84.9,82.37906986375553
46,55.3,82.39311946829586
47,98.3,82.38211044981277
48,51.7,82.38022318950138
49,88.2,82.43165103298668
50,57.8,82.4654120230015
51,79.6,82.41775870013898
52,98.6,82.39804731466448
53,10.1,82.43809917238393
54,69.3,82.28496896767385
55,98.5,82.39469218522201
56,24.3,82.38043288509154
57,36.8,82.39610763045556
58,98.4,82.45838722073134
59,61.9,82.46226658914921
60,38.5,82.3995676076931
61,17.3,82.40664483386081
62,98.6,82.44748305004333
63,72.2,82.43264708703992
64,17.8,82.36806084527244
65,98.6,82.4146656901842
66,55.2,82.4977575677828
67,31.0,82.51144020504034
68,37.9,82.46876715244397
69,22.9,82.46488778402612
70,32.8,82.44344640993286
71,98.3,82.47904223636154
72,80.6,82.5258043529659
73,94.6,82.5166825947942
74,47.2,82.5565247569235
75,98.4,82.5098674881142
76,54.4,82.57508281665213
77,42.4,82.59945992900755
78,46.0,82.69025811954431
79,98.5,82.68774177246246
80,20.6,82.70456984357233
81,28.7,82.68606420774123
82,54.5,82.65230321772641
83,85.0,82.68422937132738
84,84.2,82.63390242969038
85,90.4,82.64281449227194
86,97.9,82.62729701860052
87,98.6,82.5229210386013
88,98.4,82.65267018500919
89,93.1,82.6475326430504
90,30.0,82.6573359118901
91,53.8,82.47804618230829
92,98.1,82.59070513811862
93,95.7,82.63521302712884
94,98.5,82.77780602843367
95,55.9,82.76129250070903
96,89.2,82.685068153688
97,98.6,82.69827897586771
98,99.0,82.76034887055333
99,98.4,82.7216600341699
100,96.2,82.71421584071942
101,95.0,82.80815946510849
102,40.9,82.66027165015227
103,98.4,82.61660254350267
104,86.8,82.77046668277828
105,78.4,82.57261889346782
106,48.2,82.48465159339816
107,88.5,82.75017863443085
108,93.1,82.66687706124212
109,40.1,82.59060029032355
110,18.9,82.7136391778465
111,30.8,82.71746612236682
112,44.7,82.63191032158392
113,40.4,82.78802868845368
114,72.0,82.64905293607902
115,83.9,82.79992891319495
116,82.5,82.69251234713848
117,64.4,82.83998077091438
118,76.7,83.25381501808363
119,98.2,82.73439904127177
120,69.1,82.48963186366431
121,33.5,82.58095429317646
122,48.7,82.50750841272496
123,94.8,82.5649650044272
124,70.6,82.47652588927969
125,91.8,82.55641990912842
126,98.4,82.62860761603899
127,92.4,82.71311493887112
128,98.3,82.67159521202059
129,22.2,82.64695598017747
130,92.1,82.60061325475341
131,85.3,82.6999041166914
132,56.5,82.73324571552591
133,98.5,82.91395089034125
134,95.0,82.81015157321495
135,38.1,82.8461143669264
136,98.4,82.90309914355079
137,57.0,82.78530264578168
138,98.8,82.75379588336102
139,93.6,82.59851629885186
140,63.7,82.69764988909725
141,97.8,82.72559182648529
142,98.7,82.60098022203618
143,85.8,82.72580152207544
144,78.8,82.74147626743947
145,81.4,82.86063578654456
146,57.0,82.92433082205389
147,43.9,82.83788381501283
148,89.9,82.79793680508847
149,84.1,82.82996780648452
150,98.6,82.85696611371687
151,68.9,82.83437141387776
152,33.5,82.75924796870503
153,33.2,82.88857772393261
154,89.2,82.8865331919286
155,98.5,82.67468822197537
156,53.7,82.7234424466862
157,98.5,82.81429306112051
158,45.7,82.86336182921657
159,50.7,82.83201233848852
160,57.4,82.91106757597665
161,87.7,82.80590523751434
162,89.9,82.88370230146153
163,52.5,82.98640071673952
164,93.0,82.7377017468167
165,68.0,82.85528854899563
166,55.3,82.86289001413873
167,44.5,82.96406813638811
168,95.4,82.893191026916
169,98.5,82.87961323745353
170,98.6,82.78708505829799
171,93.5,82.90409519760402
172,42.0,82.91547118336989
173,17.1,82.89146103829724
174,85.0,82.93995314352038
175,95.0,82.9244880937465
176,31.5,82.94661097850778
177,63.9,82.9575151491958
178,56.4,82.88207716063783
179,86.6,82.94734491307332
180,98.3,82.99038493295245
181,57.9,82.89450162435446
182,83.2,82.91337422746834
183,31.2,83.03641311499129
184,27.0,82.9631245062324
185,89.6,83.05334603389625
186,98.5,82.90110703544433
187,98.6,83.08700217611599
188,98.3,82.98577162996907
189,49.2,83.15745989440778
190,98.5,83.13643791149484
191,13.5,83.04574456875315
192,19.8,83.10671356159047
193,68.4,83.14582178915423
194,94.6,83.10624174651264
195,98.5,83.05774964128948
196,76.8,83.06314930273595
197,26.9,83.28259573783228
198,98.5,83.12411829557327
199,45.8,83.15572990578902
200,60.2,83.24526992278484
201,60.1,83.11069777780341
202,45.5,83.16605741360411
203,98.6,83.1257958602945
204,94.0,83.25208502946485
205,16.7,83.20390746762693
206,98.5,83.18262336522628
207,98.6,83.28133756429136
208,84.2,83.10991141934034
209,37.0,83.13759123724068
210,19.0,83.19672539366415
211,95.3,83.21030318312663
212,29.9,83.1672631632475
213,39.8,83.15226992855148
214,20.7,83.31593733666679
215,24.4,83.243435086371
216,90.5,83.15630656866195
217,37.9,83.20579472793833
218,65.1,83.17360645484966
219,65.9,83.20920228127832
220,98.5,83.13575640082684
221,98.7,83.29439111477845
222,76.1,83.28705176912305
223,54.1,83.30754951306064
224,73.2,83.42277723985035
225,41.6,83.33680204788713
226,98.6,83.25496834382947
227,31.3,83.2994762328397
228,85.2,83.24778626986668
229,92.2,83.21465436662233
230,40.8,83.29412899529076
231,33.3,83.34702470790715
232,19.8,83.3383747648133
233,76.3,83.39210925979029
234,97.5,83.43457261679652
235,90.6,83.40075920288416
236,98.3,83.42303935933803
237,78.9,83.46199031520916
238,19.8,83.39321016163859
239,22.1,83.55504273334007
240,76.5,83.44851737354176
241,35.1,83.62062502916079
242,98.9,83.54183191116037
243,98.9,83.457010044943
244,77.0,83.35053710904224
245,21.6,83.48306472201966
246,98.6,83.57800440046196
247,95.0,83.42372087000604
248,66.4,83.66093900636793
249,18.4,83.58455738765429
250,34.0,83.58806978878935
251,50.2,83.49333980593721
252,55.7,83.46361545603285
253,98.6,83.63609007893467
254,51.3,83.61218478165708
255,98.6,83.57884318282257
256,49.2,83.43881895249713
257,93.8,83.82911486967157
258,73.4,83.7402039394462
259,43.7,83.66445140750301
260,85.9,83.55520000503269
261,86.9,83.64536910879899
262,70.7,83.60033698081337
263,37.2,83.62298410455003
264,98.7,83.8337805965525
265,98.6,83.58702131083858
266,86.6,83.79026876159551
267,19.7,83.72992885552864
268,80.0,83.83205060793372
269,37.5,83.79640235760752
270,95.5,83.84489446283067
271,49.8,83.64877666213899
272,96.6,83.81029469045524
